URL,TTL,Message
scripts.protoplex.ru,1,timed out
scripts.protoplex.ru,2,timed out
scripts.protoplex.ru,3,timed out
scripts.protoplex.ru,4,timed out
scripts.protoplex.ru,5,timed out
scripts.protoplex.ru,6,timed out
scripts.protoplex.ru,7,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 23 Jan 2020 04:17:50 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 627
Last-Modified: Thu, 10 Aug 2017 19:06:57 GMT
Connection: keep-alive
Vary: Accept-Encoding
ETag: ""598caed1-273""
Accept-Ranges: bytes

<!DOCTYPE html>
<html>
<head>
<title>Добро пожаловать!</title>
<META NAME=""CONTENT-TYPE"" CONTENT=""TEXT/HTML; charset=utf-8"">
<style>
    body {
        width: 35em;
        margin: 0 auto;
        font-family: Tahoma, Verdana, Arial, sans-serif;
    }
</style>
</head>
<body>
<h1>Добро пожаловать!</h1>
<p>Этот проект в настоящее время не поддерживается. Просим посетить следующие актуальные проекты:</p>
<p>
<a href=""https://supersnimki.ru/"">SuperSnimki.Ru</a>
</p>

<p><em>Спасибо.</em></p>
</body>
</html>
"
scripts.protoplex.ru,8,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 23 Jan 2020 04:17:50 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 627
Last-Modified: Thu, 10 Aug 2017 19:06:57 GMT
Connection: keep-alive
Vary: Accept-Encoding
ETag: ""598caed1-273""
Accept-Ranges: bytes

<!DOCTYPE html>
<html>
<head>
<title>Добро пожаловать!</title>
<META NAME=""CONTENT-TYPE"" CONTENT=""TEXT/HTML; charset=utf-8"">
<style>
    body {
        width: 35em;
        margin: 0 auto;
        font-family: Tahoma, Verdana, Arial, sans-serif;
    }
</style>
</head>
<body>
<h1>Добро пожаловать!</h1>
<p>Этот проект в настоящее время не поддерживается. Просим посетить следующие актуальные проекты:</p>
<p>
<a href=""https://supersnimki.ru/"">SuperSnimki.Ru</a>
</p>

<p><em>Спасибо.</em></p>
</body>
</html>
"
scripts.protoplex.ru,9,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 23 Jan 2020 04:17:50 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 627
Last-Modified: Thu, 10 Aug 2017 19:06:57 GMT
Connection: keep-alive
Vary: Accept-Encoding
ETag: ""598caed1-273""
Accept-Ranges: bytes

<!DOCTYPE html>
<html>
<head>
<title>Добро пожаловать!</title>
<META NAME=""CONTENT-TYPE"" CONTENT=""TEXT/HTML; charset=utf-8"">
<style>
    body {
        width: 35em;
        margin: 0 auto;
        font-family: Tahoma, Verdana, Arial, sans-serif;
    }
</style>
</head>
<body>
<h1>Добро пожаловать!</h1>
<p>Этот проект в настоящее время не поддерживается. Просим посетить следующие актуальные проекты:</p>
<p>
<a href=""https://supersnimki.ru/"">SuperSnimki.Ru</a>
</p>

<p><em>Спасибо.</em></p>
</body>
</html>
"
scripts.protoplex.ru,10,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 23 Jan 2020 04:17:50 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 627
Last-Modified: Thu, 10 Aug 2017 19:06:57 GMT
Connection: keep-alive
Vary: Accept-Encoding
ETag: ""598caed1-273""
Accept-Ranges: bytes

<!DOCTYPE html>
<html>
<head>
<title>Добро пожаловать!</title>
<META NAME=""CONTENT-TYPE"" CONTENT=""TEXT/HTML; charset=utf-8"">
<style>
    body {
        width: 35em;
        margin: 0 auto;
        font-family: Tahoma, Verdana, Arial, sans-serif;
    }
</style>
</head>
<body>
<h1>Добро пожаловать!</h1>
<p>Этот проект в настоящее время не поддерживается. Просим посетить следующие актуальные проекты:</p>
<p>
<a href=""https://supersnimki.ru/"">SuperSnimki.Ru</a>
</p>

<p><em>Спасибо.</em></p>
</body>
</html>
"
