URL,TTL,Message
smdnr.ru,1,timed out
smdnr.ru,2,timed out
smdnr.ru,3,timed out
smdnr.ru,4,timed out
smdnr.ru,5,timed out
smdnr.ru,6,timed out
smdnr.ru,7,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:29:53 GMT
Server: Apache
Last-Modified: Tue, 17 Dec 2019 07:26:40 GMT
ETag: ""154-599e13fcdbb83""
Accept-Ranges: bytes
Content-Length: 340
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""REFRESH"" content=""3; URL=https://pravdnr.ru""/>
<title>REDIRECT</title>
</head>
<style>
body {
background: url(1.png) no-repeat;
-moz-background-size: 80%;
-webkit-background-size: 80%;
-o-background-size: 80%;
background-size: 80%;
background-color: #c7b39b;
}
</style>
<body>
</body>
</html>"
smdnr.ru,8,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:29:53 GMT
Server: Apache
Last-Modified: Tue, 17 Dec 2019 07:26:40 GMT
ETag: ""154-599e13fcdbb83""
Accept-Ranges: bytes
Content-Length: 340
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""REFRESH"" content=""3; URL=https://pravdnr.ru""/>
<title>REDIRECT</title>
</head>
<style>
body {
background: url(1.png) no-repeat;
-moz-background-size: 80%;
-webkit-background-size: 80%;
-o-background-size: 80%;
background-size: 80%;
background-color: #c7b39b;
}
</style>
<body>
</body>
</html>"
smdnr.ru,9,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:29:54 GMT
Server: Apache
Last-Modified: Tue, 17 Dec 2019 07:26:40 GMT
ETag: ""154-599e13fcdbb83""
Accept-Ranges: bytes
Content-Length: 340
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""REFRESH"" content=""3; URL=https://pravdnr.ru""/>
<title>REDIRECT</title>
</head>
<style>
body {
background: url(1.png) no-repeat;
-moz-background-size: 80%;
-webkit-background-size: 80%;
-o-background-size: 80%;
background-size: 80%;
background-color: #c7b39b;
}
</style>
<body>
</body>
</html>"
smdnr.ru,10,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:29:54 GMT
Server: Apache
Last-Modified: Tue, 17 Dec 2019 07:26:40 GMT
ETag: ""154-599e13fcdbb83""
Accept-Ranges: bytes
Content-Length: 340
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""REFRESH"" content=""3; URL=https://pravdnr.ru""/>
<title>REDIRECT</title>
</head>
<style>
body {
background: url(1.png) no-repeat;
-moz-background-size: 80%;
-webkit-background-size: 80%;
-o-background-size: 80%;
background-size: 80%;
background-color: #c7b39b;
}
</style>
<body>
</body>
</html>"
smdnr.ru,11,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:29:54 GMT
Server: Apache
Last-Modified: Tue, 17 Dec 2019 07:26:40 GMT
ETag: ""154-599e13fcdbb83""
Accept-Ranges: bytes
Content-Length: 340
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""REFRESH"" content=""3; URL=https://pravdnr.ru""/>
<title>REDIRECT</title>
</head>
<style>
body {
background: url(1.png) no-repeat;
-moz-background-size: 80%;
-webkit-background-size: 80%;
-o-background-size: 80%;
background-size: 80%;
background-color: #c7b39b;
}
</style>
<body>
</body>
</html>"
smdnr.ru,12,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:29:54 GMT
Server: Apache
Last-Modified: Tue, 17 Dec 2019 07:26:40 GMT
ETag: ""154-599e13fcdbb83""
Accept-Ranges: bytes
Content-Length: 340
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""REFRESH"" content=""3; URL=https://pravdnr.ru""/>
<title>REDIRECT</title>
</head>
<style>
body {
background: url(1.png) no-repeat;
-moz-background-size: 80%;
-webkit-background-size: 80%;
-o-background-size: 80%;
background-size: 80%;
background-color: #c7b39b;
}
</style>
<body>
</body>
</html>"
smdnr.ru,13,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:29:54 GMT
Server: Apache
Last-Modified: Tue, 17 Dec 2019 07:26:40 GMT
ETag: ""154-599e13fcdbb83""
Accept-Ranges: bytes
Content-Length: 340
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""REFRESH"" content=""3; URL=https://pravdnr.ru""/>
<title>REDIRECT</title>
</head>
<style>
body {
background: url(1.png) no-repeat;
-moz-background-size: 80%;
-webkit-background-size: 80%;
-o-background-size: 80%;
background-size: 80%;
background-color: #c7b39b;
}
</style>
<body>
</body>
</html>"
smdnr.ru,14,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:29:54 GMT
Server: Apache
Last-Modified: Tue, 17 Dec 2019 07:26:40 GMT
ETag: ""154-599e13fcdbb83""
Accept-Ranges: bytes
Content-Length: 340
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""REFRESH"" content=""3; URL=https://pravdnr.ru""/>
<title>REDIRECT</title>
</head>
<style>
body {
background: url(1.png) no-repeat;
-moz-background-size: 80%;
-webkit-background-size: 80%;
-o-background-size: 80%;
background-size: 80%;
background-color: #c7b39b;
}
</style>
<body>
</body>
</html>"
smdnr.ru,15,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:29:54 GMT
Server: Apache
Last-Modified: Tue, 17 Dec 2019 07:26:40 GMT
ETag: ""154-599e13fcdbb83""
Accept-Ranges: bytes
Content-Length: 340
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""REFRESH"" content=""3; URL=https://pravdnr.ru""/>
<title>REDIRECT</title>
</head>
<style>
body {
background: url(1.png) no-repeat;
-moz-background-size: 80%;
-webkit-background-size: 80%;
-o-background-size: 80%;
background-size: 80%;
background-color: #c7b39b;
}
</style>
<body>
</body>
</html>"
smdnr.ru,16,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:29:54 GMT
Server: Apache
Last-Modified: Tue, 17 Dec 2019 07:26:40 GMT
ETag: ""154-599e13fcdbb83""
Accept-Ranges: bytes
Content-Length: 340
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""REFRESH"" content=""3; URL=https://pravdnr.ru""/>
<title>REDIRECT</title>
</head>
<style>
body {
background: url(1.png) no-repeat;
-moz-background-size: 80%;
-webkit-background-size: 80%;
-o-background-size: 80%;
background-size: 80%;
background-color: #c7b39b;
}
</style>
<body>
</body>
</html>"
smdnr.ru,17,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:29:54 GMT
Server: Apache
Last-Modified: Tue, 17 Dec 2019 07:26:40 GMT
ETag: ""154-599e13fcdbb83""
Accept-Ranges: bytes
Content-Length: 340
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""REFRESH"" content=""3; URL=https://pravdnr.ru""/>
<title>REDIRECT</title>
</head>
<style>
body {
background: url(1.png) no-repeat;
-moz-background-size: 80%;
-webkit-background-size: 80%;
-o-background-size: 80%;
background-size: 80%;
background-color: #c7b39b;
}
</style>
<body>
</body>
</html>"
smdnr.ru,18,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:29:55 GMT
Server: Apache
Last-Modified: Tue, 17 Dec 2019 07:26:40 GMT
ETag: ""154-599e13fcdbb83""
Accept-Ranges: bytes
Content-Length: 340
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""REFRESH"" content=""3; URL=https://pravdnr.ru""/>
<title>REDIRECT</title>
</head>
<style>
body {
background: url(1.png) no-repeat;
-moz-background-size: 80%;
-webkit-background-size: 80%;
-o-background-size: 80%;
background-size: 80%;
background-color: #c7b39b;
}
</style>
<body>
</body>
</html>"
smdnr.ru,19,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:29:55 GMT
Server: Apache
Last-Modified: Tue, 17 Dec 2019 07:26:40 GMT
ETag: ""154-599e13fcdbb83""
Accept-Ranges: bytes
Content-Length: 340
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""REFRESH"" content=""3; URL=https://pravdnr.ru""/>
<title>REDIRECT</title>
</head>
<style>
body {
background: url(1.png) no-repeat;
-moz-background-size: 80%;
-webkit-background-size: 80%;
-o-background-size: 80%;
background-size: 80%;
background-color: #c7b39b;
}
</style>
<body>
</body>
</html>"
smdnr.ru,20,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:29:55 GMT
Server: Apache
Last-Modified: Tue, 17 Dec 2019 07:26:40 GMT
ETag: ""154-599e13fcdbb83""
Accept-Ranges: bytes
Content-Length: 340
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""REFRESH"" content=""3; URL=https://pravdnr.ru""/>
<title>REDIRECT</title>
</head>
<style>
body {
background: url(1.png) no-repeat;
-moz-background-size: 80%;
-webkit-background-size: 80%;
-o-background-size: 80%;
background-size: 80%;
background-color: #c7b39b;
}
</style>
<body>
</body>
</html>"
smdnr.ru,21,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:29:55 GMT
Server: Apache
Last-Modified: Tue, 17 Dec 2019 07:26:40 GMT
ETag: ""154-599e13fcdbb83""
Accept-Ranges: bytes
Content-Length: 340
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""REFRESH"" content=""3; URL=https://pravdnr.ru""/>
<title>REDIRECT</title>
</head>
<style>
body {
background: url(1.png) no-repeat;
-moz-background-size: 80%;
-webkit-background-size: 80%;
-o-background-size: 80%;
background-size: 80%;
background-color: #c7b39b;
}
</style>
<body>
</body>
</html>"
smdnr.ru,22,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:29:55 GMT
Server: Apache
Last-Modified: Tue, 17 Dec 2019 07:26:40 GMT
ETag: ""154-599e13fcdbb83""
Accept-Ranges: bytes
Content-Length: 340
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""REFRESH"" content=""3; URL=https://pravdnr.ru""/>
<title>REDIRECT</title>
</head>
<style>
body {
background: url(1.png) no-repeat;
-moz-background-size: 80%;
-webkit-background-size: 80%;
-o-background-size: 80%;
background-size: 80%;
background-color: #c7b39b;
}
</style>
<body>
</body>
</html>"
smdnr.ru,23,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:29:55 GMT
Server: Apache
Last-Modified: Tue, 17 Dec 2019 07:26:40 GMT
ETag: ""154-599e13fcdbb83""
Accept-Ranges: bytes
Content-Length: 340
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""REFRESH"" content=""3; URL=https://pravdnr.ru""/>
<title>REDIRECT</title>
</head>
<style>
body {
background: url(1.png) no-repeat;
-moz-background-size: 80%;
-webkit-background-size: 80%;
-o-background-size: 80%;
background-size: 80%;
background-color: #c7b39b;
}
</style>
<body>
</body>
</html>"
smdnr.ru,24,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:29:55 GMT
Server: Apache
Last-Modified: Tue, 17 Dec 2019 07:26:40 GMT
ETag: ""154-599e13fcdbb83""
Accept-Ranges: bytes
Content-Length: 340
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Content-Type: text/html

<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""REFRESH"" content=""3; URL=https://pravdnr.ru""/>
<title>REDIRECT</title>
</head>
<style>
body {
background: url(1.png) no-repeat;
-moz-background-size: 80%;
-webkit-background-size: 80%;
-o-background-size: 80%;
background-size: 80%;
background-color: #c7b39b;
}
</style>
<body>
</body>
</html>"
