URL,TTL,Message
squarespace.com,1,timed out
squarespace.com,2,timed out
squarespace.com,3,timed out
squarespace.com,4,timed out
squarespace.com,5,timed out
squarespace.com,6,timed out
squarespace.com,7,timed out
squarespace.com,8,timed out
squarespace.com,9,timed out
squarespace.com,10,timed out
squarespace.com,11,"HTTP/1.1 404 Not Found
date: Thu, 23 Jan 2020 04:42:23 GMT
content-type: text/html;charset=utf-8
content-length: 2048
Age: 0
Set-Cookie: crumb=BZZzxsVAcD5SMzBkMDYwOGQ1MDU0MGI5YjUwMjhkNjUzODk5MzVm;Path=/
x-contextid: RXQZlwfU/95B0xxnf
server: Squarespace

<!DOCTYPE HTML>
<html>
<head>
    
  <title>Squarespace - Domain Not Claimed</title>
  <meta http-equiv=""X-UA-Compatible"" content=""chrome=1"">

  <script crossorigin=""anonymous"" src=""//assets.squarespace.com/universal/scripts-compressed/common-d2e974864d2030a8fe5e9-min.en-US.js"" ></script><link rel=""stylesheet"" type=""text/css"" href=""//assets.squarespace.com/universal/styles-compressed/common-e094cb28974139f4024954176cdc8975-min.css""/>
  <script crossorigin=""anonymous"" src=""//assets.squarespace.com/universal/scripts-compressed/dialog-6fd95fd560668a1c4ec74-min.en-US.js"" ></script><link rel=""stylesheet"" type=""text/css"" href=""//assets.squarespace.com/universal/styles-compressed/dialog-55710f039fb28505986e61d6b08d7fad-min.css""/>
  <script crossorigin=""anonymous"" src=""//assets.squarespace.com/universal/scripts-compressed/system-page-f3e16ca883a674ff98620-min.en-US.js"" ></script><link rel=""stylesheet"" type=""text/css"" href=""//assets.squarespace.com/universal/styles-compressed/system-page-19d1ba4933f54fcc4061e432d70fe156-min.css""/>

  <script>

    YUI(YUI_CONFIG).use('squarespace-common', 'squarespace-system-page', function(Y) {
	
      Y.on(""domready"", function() {
      
        var lb = new Y.Squarespace.Lightbox({
          disableNormalClose: true,
          clickAnywhereToExit: false,
          content: '<div class=""bigtext""><div class=""title"">Domain Not Claimed</div><div class=""description"">This domain has been mapped to Squarespace, but it has not yet been claimed by a website.  If this is your domain, claim it in the Domains tab of your Website Manager.</div></div>',
          margin: 100,
          noHeightConstrain: true
        });

        lb.show();

        lb.getContentEl().on(""click"", function(e) {
          if (e.target.ancestor("".login-button"", true)) {
            document.location.href = '/config/';
          }
        });
        
      });
          
    }); 

  </script> 


</head>
<body class=""squarespace-config squarespace-system-page"">

  <div class=""minimal-logo"">&nbsp;</div>

</body>
</html>

"
