URL,TTL,Message
tk-union.tv,1,timed out
tk-union.tv,2,timed out
tk-union.tv,3,timed out
tk-union.tv,4,timed out
tk-union.tv,5,timed out
tk-union.tv,6,timed out
tk-union.tv,7,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:49:26 GMT
Server: Apache/2.4.7 (Ubuntu)
X-Powered-By: PHP/5.5.9-1ubuntu4.17
Set-Cookie: PHPSESSID=gel4smfaq4npip2mes5u9i4a64; expires=Thu, 30-Jan-2020 04:49:26 GMT; Max-Age=604800; path=/; HttpOnly
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Pragma: no-cache
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

d9a4
<!DOCTYPE html>
<html lang=""ru"">
	<head>
		<meta charset=""UTF-8"">
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
<meta name=""description"" content="""">
<meta name=""author"" content=""Телеканал Юнион. Донецк."">
<meta name=""robots"" content=""all"">
<meta name=""keywords"" content=""Новости, Юнион, ДНР, Донецк, Донбасс, Донецкая Народная Республика"">
<link rel=""image_src"" href=""http://ojaloberoi.in/assets/components/union/u_logo.png"">
<meta property=""og:description"" content="""">
<meta property=""og:image"" content=""http://ojaloberoi.in/assets/components/union/u_logo.png"">
<base href=""http://ojaloberoi.in/"" />
<title>Главная - TK Union</title>



<script src=""/assets/components/union/jquery.min.js""></script>
    
<link rel=""shortcut icon"" type=""image/x-icon"" href=""/assets/components/union/favicon.ico"">
<link rel=""shortcut icon"" type=""image/png"" href=""/assets/components/union/favicon.png"">
<link rel=""stylesheet"" href=""//releases.flowplayer.org/6.0.5/skin/minimalist.css"">
<link href=""https://fonts.googleapis.com/css?family=Ubuntu+Condensed"" rel=""stylesheet"">
<!-- HTML5 shim and Respond.js IE8 support of HTML5 elements and media queries -->
<!--[if lt IE 9]>
<script src=""https://oss.maxcdn.com/libs/html5shiv/3.7.0/html5shiv.js""></script>
<script src=""https://oss.maxcdn.com/libs/respond.js/1.3.0/respond.min.js""></script>
<![endif]-->

	<link rel=""stylesheet"" href=""/assets/components/minifyx/cache/styles_3013c59470.min.css"" type=""text/css"" />
<link rel=""next"" href=""?page=2""/>
</head>
	<body>
		<div class=""brand-back""></div>
<div>
    <p hidden><script type=""text/javascript"" src=""/orphus/orphus.js""></script>
    <a href=""http://orphus.ru"" id=""orphus"" target=""_blank""><img alt=""Система Orphus"" src=""/orphus/orphus.gif"" disply=""none"" border=""0"" width=""121"" height=""21"" /></a></p>
</div>
<a class=""brand"" href=""/""><img src=""/assets/components/union/u_logo.png"" alt=""Union TV""></a>
<nav class=""navbar navbar-default"">
    <div class=""container-fluid"">
        <div class=""navbar-header"">
            <button type=""button"" class=""navbar-toggle"" data-toggle=""collapse"" data-target="".navbar-collapse"">
                <span class=""sr-only"">Toggle navigation</span>
                <span class=""icon-bar""></span>
                <span class=""icon-bar""></span>
                <span class=""icon-bar""></span>
            </button>
        </div>
        <div class=""col-xs-1""></div>
        <div class=""col-xs-11"">
            <div class=""navbar-collapse collapse"">
                <ul class=""nav navbar-nav"">
                    <li class=""first active""><a href=""/"" >Главная</a></li><li><a href=""teleprogramma.html"" >Телепрограмма</a></li><li class="" dropdown marked"">
                            <a href=""#"" class=""dropdown-toggle"" data-toggle=""dropdown"" >Новости<b class=""caret""></b></a>
                            <ul class=""dropdown-menu""><li class=""first""><a href=""panorama.html"" >Панорама</a></li><li><a href=""ot-pervogo-licza.html"" >От первого лица</a></li><li><a href=""translyacia.html"" >Эксклюзив</a></li><li><a href=""dela-gosudarstvennyie.html"" >Дела Государственные</a></li><li class=""last""><a href=""panorama-nedeli.html"" >Панорама недели</a></li></ul>
                        </li><li class="" dropdown marked"">
                            <a href=""#"" class=""dropdown-toggle"" data-toggle=""dropd"
tk-union.tv,8,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:49:30 GMT
Server: Apache/2.4.7 (Ubuntu)
X-Powered-By: PHP/5.5.9-1ubuntu4.17
Set-Cookie: PHPSESSID=77uh4qbjcur4hbi7442v8qbai7; expires=Thu, 30-Jan-2020 04:49:31 GMT; Max-Age=604800; path=/; HttpOnly
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Pragma: no-cache
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

d9a4
<!DOCTYPE html>
<html lang=""ru"">
	<head>
		<meta charset=""UTF-8"">
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
<meta name=""description"" content="""">
<meta name=""author"" content=""Телеканал Юнион. Донецк."">
<meta name=""robots"" content=""all"">
<meta name=""keywords"" content=""Новости, Юнион, ДНР, Донецк, Донбасс, Донецкая Народная Республика"">
<link rel=""image_src"" href=""http://ojaloberoi.in/assets/components/union/u_logo.png"">
<meta property=""og:description"" content="""">
<meta property=""og:image"" content=""http://ojaloberoi.in/assets/components/union/u_logo.png"">
<base href=""http://ojaloberoi.in/"" />
<title>Главная - TK Union</title>



<script src=""/assets/components/union/jquery.min.js""></script>
    
<link rel=""shortcut icon"" type=""image/x-icon"" href=""/assets/components/union/favicon.ico"">
<link rel=""shortcut icon"" type=""image/png"" href=""/assets/components/union/favicon.png"">
<link rel=""stylesheet"" href=""//releases.flowplayer.org/6.0.5/skin/minimalist.css"">
<link href=""https://fonts.googleapis.com/css?family=Ubuntu+Condensed"" rel=""stylesheet"">
<!-- HTML5 shim and Respond.js IE8 support of HTML5 elements and media queries -->
<!--[if lt IE 9]>
<script src=""https://oss.maxcdn.com/libs/html5shiv/3.7.0/html5shiv.js""></script>
<script src=""https://oss.maxcdn.com/libs/respond.js/1.3.0/respond.min.js""></script>
<![endif]-->

	<link rel=""stylesheet"" href=""/assets/components/minifyx/cache/styles_3013c59470.min.css"" type=""text/css"" />
<link rel=""next"" href=""?page=2""/>
</head>
	<body>
		<div class=""brand-back""></div>
<div>
    <p hidden><script type=""text/javascript"" src=""/orphus/orphus.js""></script>
    <a href=""http://orphus.ru"" id=""orphus"" target=""_blank""><img alt=""Система Orphus"" src=""/orphus/orphus.gif"" disply=""none"" border=""0"" width=""121"" height=""21"" /></a></p>
</div>
<a class=""brand"" href=""/""><img src=""/assets/components/union/u_logo.png"" alt=""Union TV""></a>
<nav class=""navbar navbar-default"">
    <div class=""container-fluid"">
        <div class=""navbar-header"">
            <button type=""button"" class=""navbar-toggle"" data-toggle=""collapse"" data-target="".navbar-collapse"">
                <span class=""sr-only"">Toggle navigation</span>
                <span class=""icon-bar""></span>
                <span class=""icon-bar""></span>
                <span class=""icon-bar""></span>
            </button>
        </div>
        <div class=""col-xs-1""></div>
        <div class=""col-xs-11"">
            <div class=""navbar-collapse collapse"">
                <ul class=""nav navbar-nav"">
                    <li class=""first active""><a href=""/"" >Главная</a></li><li><a href=""teleprogramma.html"" >Телепрограмма</a></li><li class="" dropdown marked"">
                            <a href=""#"" class=""dropdown-toggle"" data-toggle=""dropdown"" >Новости<b class=""caret""></b></a>
                            <ul class=""dropdown-menu""><li class=""first""><a href=""panorama.html"" >Панорама</a></li><li><a href=""ot-pervogo-licza.html"" >От первого лица</a></li><li><a href=""translyacia.html"" >Эксклюзив</a></li><li><a href=""dela-gosudarstvennyie.html"" >Дела Государственные</a></li><li class=""last""><a href=""panorama-nedeli.html"" >Панорама недели</a></li></ul>
                        </li><li class="" dropdown marked"">
                            <a href=""#"" class=""dropdown-toggle"" data-toggle=""dropd"
tk-union.tv,9,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:49:33 GMT
Server: Apache/2.4.7 (Ubuntu)
X-Powered-By: PHP/5.5.9-1ubuntu4.17
Set-Cookie: PHPSESSID=7e23adcoklm1jnk58rpd1agt81; expires=Thu, 30-Jan-2020 04:49:33 GMT; Max-Age=604800; path=/; HttpOnly
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Pragma: no-cache
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

d9a4
<!DOCTYPE html>
<html lang=""ru"">
	<head>
		<meta charset=""UTF-8"">
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
<meta name=""description"" content="""">
<meta name=""author"" content=""Телеканал Юнион. Донецк."">
<meta name=""robots"" content=""all"">
<meta name=""keywords"" content=""Новости, Юнион, ДНР, Донецк, Донбасс, Донецкая Народная Республика"">
<link rel=""image_src"" href=""http://ojaloberoi.in/assets/components/union/u_logo.png"">
<meta property=""og:description"" content="""">
<meta property=""og:image"" content=""http://ojaloberoi.in/assets/components/union/u_logo.png"">
<base href=""http://ojaloberoi.in/"" />
<title>Главная - TK Union</title>



<script src=""/assets/components/union/jquery.min.js""></script>
    
<link rel=""shortcut icon"" type=""image/x-icon"" href=""/assets/components/union/favicon.ico"">
<link rel=""shortcut icon"" type=""image/png"" href=""/assets/components/union/favicon.png"">
<link rel=""stylesheet"" href=""//releases.flowplayer.org/6.0.5/skin/minimalist.css"">
<link href=""https://fonts.googleapis.com/css?family=Ubuntu+Condensed"" rel=""stylesheet"">
<!-- HTML5 shim and Respond.js IE8 support of HTML5 elements and media queries -->
<!--[if lt IE 9]>
<script src=""https://oss.maxcdn.com/libs/html5shiv/3.7.0/html5shiv.js""></script>
<script src=""https://oss.maxcdn.com/libs/respond.js/1.3.0/respond.min.js""></script>
<![endif]-->

	<link rel=""stylesheet"" href=""/assets/components/minifyx/cache/styles_3013c59470.min.css"" type=""text/css"" />
<link rel=""next"" href=""?page=2""/>
</head>
	<body>
		<div class=""brand-back""></div>
<div>
    <p hidden><script type=""text/javascript"" src=""/orphus/orphus.js""></script>
    <a href=""http://orphus.ru"" id=""orphus"" target=""_blank""><img alt=""Система Orphus"" src=""/orphus/orphus.gif"" disply=""none"" border=""0"" width=""121"" height=""21"" /></a></p>
</div>
<a class=""brand"" href=""/""><img src=""/assets/components/union/u_logo.png"" alt=""Union TV""></a>
<nav class=""navbar navbar-default"">
    <div class=""container-fluid"">
        <div class=""navbar-header"">
            <button type=""button"" class=""navbar-toggle"" data-toggle=""collapse"" data-target="".navbar-collapse"">
                <span class=""sr-only"">Toggle navigation</span>
                <span class="""
tk-union.tv,10,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 04:49:36 GMT
Server: Apache/2.4.7 (Ubuntu)
X-Powered-By: PHP/5.5.9-1ubuntu4.17
Set-Cookie: PHPSESSID=ape7sc7p4560bc8akdiup92o73; expires=Thu, 30-Jan-2020 04:49:36 GMT; Max-Age=604800; path=/; HttpOnly
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Pragma: no-cache
Vary: Accept-Encoding
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

d9a4
<!DOCTYPE html>
<html lang=""ru"">
	<head>
		<meta charset=""UTF-8"">
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
<meta name=""description"" content="""">
<meta name=""author"" content=""Телеканал Юнион. Донецк."">
<meta name=""robots"" content=""all"">
<meta name=""keywords"" content=""Новости, Юнион, ДНР, Донецк, Донбасс, Донецкая Народная Республика"">
<link rel=""image_src"" href=""http://ojaloberoi.in/assets/components/union/u_logo.png"">
<meta property=""og:description"" content="""">
<meta property=""og:image"" content=""http://ojaloberoi.in/assets/components/union/u_logo.png"">
<base href=""http://ojaloberoi.in/"" />
<title>Главная - TK Union</title>



<script src=""/assets/components/union/jquery.min.js""></script>
    
<link rel=""shortcut icon"" type=""image/x-icon"""
