URL,TTL,Message
top.jdu.ru,1,timed out
top.jdu.ru,2,timed out
top.jdu.ru,3,timed out
top.jdu.ru,4,timed out
top.jdu.ru,5,timed out
top.jdu.ru,6,timed out
top.jdu.ru,7,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 04:53:07 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 62
Connection: keep-alive
X-Powered-By: Express
Set-Cookie: mb_track_id=7844824098; expires=Sat, 23-Jan-2021 04:53:07 GMT; Max-Age=31622400; path=/; domain=.ojaloberoi.in; HttpOnly
Set-Cookie: s_post=0lDmKA0qOUvVUBwpuJj6HG3CktyRanBe; path=/
Set-Cookie: mmbsid=NK0by580IsDBWOkB6RL01wHKHhMhKpTm_20200123075307_ojaloberoi.in; path=/; domain=ojaloberoi.in; HttpOnly
X-Node: wwwnew6
X-Ver: 3
X-Frame-Options: sameorigin
cache-control: post-check=0, pre-check=0, no-store, no-cache, must-revalidate, private
pragma: no-cache
Location: /ru
Vary: Accept

<p>Moved Permanently. Redirecting to <a href=""/ru"">/ru</a></p>"
top.jdu.ru,8,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 04:53:07 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 62
Connection: keep-alive
X-Powered-By: Express
Set-Cookie: mb_track_id=7844824103; expires=Sat, 23-Jan-2021 04:53:07 GMT; Max-Age=31622400; path=/; domain=.ojaloberoi.in; HttpOnly
Set-Cookie: s_post=L5xoBhwNXWJvhNaAbQ3FZXUB28jVvDjN; path=/
Set-Cookie: mmbsid=Jt0lWKF47RXvaZj9LARKS1k1KkcJse9F_20200123075307_ojaloberoi.in; path=/; domain=ojaloberoi.in; HttpOnly
X-Node: wwwnew17
X-Ver: 3
X-Frame-Options: sameorigin
cache-control: post-check=0, pre-check=0, no-store, no-cache, must-revalidate, private
pragma: no-cache
Location: /ru
Vary: Accept

<p>Moved Permanently. Redirecting to <a href=""/ru"">/ru</a></p>"
top.jdu.ru,9,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 04:53:07 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 62
Connection: keep-alive
X-Powered-By: Express
Set-Cookie: mb_track_id=7844824115; expires=Sat, 23-Jan-2021 04:53:07 GMT; Max-Age=31622400; path=/; domain=.ojaloberoi.in; HttpOnly
Set-Cookie: s_post=A10wdj2D7HSMNo60AvkphRHhoqku0c1h; path=/
Set-Cookie: mmbsid=yYtVU2XYRNgj12fzPJXO1sEFq81C4ZIZ_20200123075307_ojaloberoi.in; path=/; domain=ojaloberoi.in; HttpOnly
X-Node: wwwnew46
X-Ver: 3
X-Frame-Options: sameorigin
cache-control: post-check=0, pre-check=0, no-store, no-cache, must-revalidate, private
pragma: no-cache
Location: /ru
Vary: Accept

<p>Moved Permanently. Redirecting to <a href=""/ru"">/ru</a></p>"
top.jdu.ru,10,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 04:53:07 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 62
Connection: keep-alive
X-Powered-By: Express
Set-Cookie: mb_track_id=7844824130; expires=Sat, 23-Jan-2021 04:53:07 GMT; Max-Age=31622400; path=/; domain=.ojaloberoi.in; HttpOnly
Set-Cookie: s_post=RSeHWTfIk8x3QVi1VuQUbmJLV1IEhWUc; path=/
Set-Cookie: mmbsid=KvahhJCFgkb186VKnUXX0PmMIB1iwASn_20200123075307_ojaloberoi.in; path=/; domain=ojaloberoi.in; HttpOnly
X-Node: wwwnew27
X-Ver: 3
X-Frame-Options: sameorigin
cache-control: post-check=0, pre-check=0, no-store, no-cache, must-revalidate, private
pragma: no-cache
Location: /ru
Vary: Accept

<p>Moved Permanently. Redirecting to <a href=""/ru"">/ru</a></p>"
