URL,TTL,Message
tyzhden.ua,1,timed out
tyzhden.ua,2,timed out
tyzhden.ua,3,timed out
tyzhden.ua,4,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.0
Date: Thu, 23 Jan 2020 05:09:42 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Keep-Alive: timeout=20
Location: https://tyzhden.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.0</center>
</body>
</html>
"
tyzhden.ua,5,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.0
Date: Thu, 23 Jan 2020 05:09:42 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Keep-Alive: timeout=20
Location: https://tyzhden.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.0</center>
</body>
</html>
"
tyzhden.ua,6,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.0
Date: Thu, 23 Jan 2020 05:09:42 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Keep-Alive: timeout=20
Location: https://tyzhden.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.0</center>
</body>
</html>
"
tyzhden.ua,7,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.0
Date: Thu, 23 Jan 2020 05:09:42 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Keep-Alive: timeout=20
Location: https://tyzhden.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.0</center>
</body>
</html>
"
tyzhden.ua,8,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.0
Date: Thu, 23 Jan 2020 05:09:42 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Keep-Alive: timeout=20
Location: https://tyzhden.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.0</center>
</body>
</html>
"
tyzhden.ua,9,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.0
Date: Thu, 23 Jan 2020 05:09:42 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Keep-Alive: timeout=20
Location: https://tyzhden.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.0</center>
</body>
</html>
"
tyzhden.ua,10,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.0
Date: Thu, 23 Jan 2020 05:09:42 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Keep-Alive: timeout=20
Location: https://tyzhden.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.0</center>
</body>
</html>
"
tyzhden.ua,11,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.0
Date: Thu, 23 Jan 2020 05:09:42 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Keep-Alive: timeout=20
Location: https://tyzhden.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.0</center>
</body>
</html>
"
tyzhden.ua,12,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.0
Date: Thu, 23 Jan 2020 05:09:42 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Keep-Alive: timeout=20
Location: https://tyzhden.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.0</center>
</body>
</html>
"
tyzhden.ua,13,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.0
Date: Thu, 23 Jan 2020 05:09:42 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Keep-Alive: timeout=20
Location: https://tyzhden.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.0</center>
</body>
</html>
"
tyzhden.ua,14,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.0
Date: Thu, 23 Jan 2020 05:09:42 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Keep-Alive: timeout=20
Location: https://tyzhden.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.0</center>
</body>
</html>
"
tyzhden.ua,15,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.0
Date: Thu, 23 Jan 2020 05:09:42 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Keep-Alive: timeout=20
Location: https://tyzhden.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.0</center>
</body>
</html>
"
tyzhden.ua,16,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.0
Date: Thu, 23 Jan 2020 05:09:42 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Keep-Alive: timeout=20
Location: https://tyzhden.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.0</center>
</body>
</html>
"
tyzhden.ua,17,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.0
Date: Thu, 23 Jan 2020 05:09:42 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Keep-Alive: timeout=20
Location: https://tyzhden.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.0</center>
</body>
</html>
"
tyzhden.ua,18,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.0
Date: Thu, 23 Jan 2020 05:09:42 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Keep-Alive: timeout=20
Location: https://tyzhden.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.0</center>
</body>
</html>
"
tyzhden.ua,19,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.6.0
Date: Thu, 23 Jan 2020 05:09:42 GMT
Content-Type: text/html
Content-Length: 184
Connection: keep-alive
Keep-Alive: timeout=20
Location: https://tyzhden.ua/

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx/1.6.0</center>
</body>
</html>
"
