URL,TTL,Message
urbantimes.co,1,timed out
urbantimes.co,2,timed out
urbantimes.co,3,timed out
urbantimes.co,4,timed out
urbantimes.co,5,timed out
urbantimes.co,6,timed out
urbantimes.co,7,timed out
urbantimes.co,8,timed out
urbantimes.co,9,timed out
urbantimes.co,10,timed out
urbantimes.co,11,timed out
urbantimes.co,12,timed out
urbantimes.co,13,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 05:25:44 GMT
Server: Apache/2.4.18 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4
Last-Modified: Tue, 19 Jan 2016 23:26:47 GMT
ETag: ""6081e8-6f-529b8340a6935""
Accept-Ranges: bytes
Content-Length: 111
Connection: close
Content-Type: text/html

<html><head><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
urbantimes.co,14,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 05:25:44 GMT
Server: Apache/2.4.18 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4
Last-Modified: Tue, 19 Jan 2016 23:26:47 GMT
ETag: ""6081e8-6f-529b8340a6935""
Accept-Ranges: bytes
Content-Length: 111
Connection: close
Content-Type: text/html

<html><head><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
urbantimes.co,15,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 05:25:44 GMT
Server: Apache/2.4.18 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4
Last-Modified: Tue, 19 Jan 2016 23:26:47 GMT
ETag: ""6081e8-6f-529b8340a6935""
Accept-Ranges: bytes
Content-Length: 111
Connection: close
Content-Type: text/html

<html><head><META HTTP-EQUIV=""refresh"" CONTENT=""0;URL=/cgi-sys/defaultwebpage.cgi""></head><body></body></html>
"
