URL,TTL,Message
abcnews.go.com,1,timed out
abcnews.go.com,2,timed out
abcnews.go.com,3,timed out
abcnews.go.com,4,timed out
abcnews.go.com,5,timed out
abcnews.go.com,6,timed out
abcnews.go.com,7,timed out
abcnews.go.com,8,timed out
abcnews.go.com,9,timed out
abcnews.go.com,10,timed out
abcnews.go.com,11,timed out
abcnews.go.com,12,timed out
abcnews.go.com,13,timed out
abcnews.go.com,14,timed out
abcnews.go.com,15,"HTTP/1.1 403 Forbidden
Server: CloudFront
Date: Tue, 21 Jan 2020 18:42:43 GMT
Content-Type: text/html
Content-Length: 915
Connection: keep-alive
X-Cache: Error from cloudfront
Via: 1.1 a75b67932d84d80b40e12159613deb17.cloudfront.net (CloudFront)
X-Amz-Cf-Pop: FRA53-C1
X-Amz-Cf-Id: lsDIiAIz_JeyrBJVzM9hnE3hcTHnSA6C09dlCs1PW7oAkyQyRRDJlA==

<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""http://www.w3.org/TR/html4/loose.dtd"">
<HTML><HEAD><META HTTP-EQUIV=""Content-Type"" CONTENT=""text/html; charset=iso-8859-1"">
<TITLE>ERROR: The request could not be satisfied</TITLE>
</HEAD><BODY>
<H1>403 ERROR</H1>
<H2>The request could not be satisfied.</H2>
<HR noshade size=""1px"">
Bad request.
We can't connect to the server for this app or website at this time. There might be too much traffic or a configuration error. Try again later, or contact the app or website owner.
<BR clear=""all"">
If you provide content to customers through CloudFront, you can find steps to troubleshoot and help prevent this error by reviewing the CloudFront documentation.
<BR clear=""all"">
<HR noshade size=""1px"">
<PRE>
Generated by cloudfront (CloudFront)
Request ID: lsDIiAIz_JeyrBJVzM9hnE3hcTHnSA6C09dlCs1PW7oAkyQyRRDJlA==
</PRE>
<ADDRESS>
</ADDRESS>
</BODY></HTML>"
abcnews.go.com,16,"HTTP/1.1 403 Forbidden
Server: CloudFront
Date: Tue, 21 Jan 2020 18:42:43 GMT
Content-Type: text/html
Content-Length: 915
Connection: keep-alive
X-Cache: Error from cloudfront
Via: 1.1 269bfdd288bfea5423a4e9e701777da6.cloudfront.net (CloudFront)
X-Amz-Cf-Pop: FRA53-C1
X-Amz-Cf-Id: QI85a1nZWJs0Lf_-Vu0JcGXEKwDqYupJBzITEgu6PFJCaAaUaWJw6A==

<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""http://www.w3.org/TR/html4/loose.dtd"">
<HTML><HEAD><META HTTP-EQUIV=""Content-Type"" CONTENT=""text/html; charset=iso-8859-1"">
<TITLE>ERROR: The request could not be satisfied</TITLE>
</HEAD><BODY>
<H1>403 ERROR</H1>
<H2>The request could not be satisfied.</H2>
<HR noshade size=""1px"">
Bad request.
We can't connect to the server for this app or website at this time. There might be too much traffic or a configuration error. Try again later, or contact the app or website owner.
<BR clear=""all"">
If you provide content to customers through CloudFront, you can find steps to troubleshoot and help prevent this error by reviewing the CloudFront documentation.
<BR clear=""all"">
<HR noshade size=""1px"">
<PRE>
Generated by cloudfront (CloudFront)
Request ID: QI85a1nZWJs0Lf_-Vu0JcGXEKwDqYupJBzITEgu6PFJCaAaUaWJw6A==
</PRE>
<ADDRESS>
</ADDRESS>
</BODY></HTML>"
abcnews.go.com,17,"HTTP/1.1 403 Forbidden
Server: CloudFront
Date: Tue, 21 Jan 2020 18:42:43 GMT
Content-Type: text/html
Content-Length: 915
Connection: keep-alive
X-Cache: Error from cloudfront
Via: 1.1 6080b2713e502211e152f21f5c59c5a7.cloudfront.net (CloudFront)
X-Amz-Cf-Pop: FRA53-C1
X-Amz-Cf-Id: PS9un3qUpyplDWAoo8T_Q94Rs6Ql_7IAt6iL5vv-CliGAHFmHzFKdw==

<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""http://www.w3.org/TR/html4/loose.dtd"">
<HTML><HEAD><META HTTP-EQUIV=""Content-Type"" CONTENT=""text/html; charset=iso-8859-1"">
<TITLE>ERROR: The request could not be satisfied</TITLE>
</HEAD><BODY>
<H1>403 ERROR</H1>
<H2>The request could not be satisfied.</H2>
<HR noshade size=""1px"">
Bad request.
We can't connect to the server for this app or website at this time. There might be too much traffic or a configuration error. Try again later, or contact the app or website owner.
<BR clear=""all"">
If you provide content to customers through CloudFront, you can find steps to troubleshoot and help prevent this error by reviewing the CloudFront documentation.
<BR clear=""all"">
<HR noshade size=""1px"">
<PRE>
Generated by cloudfront (CloudFront)
Request ID: PS9un3qUpyplDWAoo8T_Q94Rs6Ql_7IAt6iL5vv-CliGAHFmHzFKdw==
</PRE>
<ADDRESS>
</ADDRESS>
</BODY></HTML>"
abcnews.go.com,18,"HTTP/1.1 403 Forbidden
Server: CloudFront
Date: Tue, 21 Jan 2020 18:42:43 GMT
Content-Type: text/html
Content-Length: 915
Connection: keep-alive
X-Cache: Error from cloudfront
Via: 1.1 15d3b4db3728feaae1780610a1bac86e.cloudfront.net (CloudFront)
X-Amz-Cf-Pop: FRA53-C1
X-Amz-Cf-Id: 0nkmhWQ56o7tB0Hk7MEOEZeVf7vyPBd7ILaH4j-HzLnz7UI-aKJYOQ==

<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""http://www.w3.org/TR/html4/loose.dtd"">
<HTML><HEAD><META HTTP-EQUIV=""Content-Type"" CONTENT=""text/html; charset=iso-8859-1"">
<TITLE>ERROR: The request could not be satisfied</TITLE>
</HEAD><BODY>
<H1>403 ERROR</H1>
<H2>The request could not be satisfied.</H2>
<HR noshade size=""1px"">
Bad request.
We can't connect to the server for this app or website at this time. There might be too much traffic or a configuration error. Try again later, or contact the app or website owner.
<BR clear=""all"">
If you provide content to customers through CloudFront, you can find steps to troubleshoot and help prevent this error by reviewing the CloudFront documentation.
<BR clear=""all"">
<HR noshade size=""1px"">
<PRE>
Generated by cloudfront (CloudFront)
Request ID: 0nkmhWQ56o7tB0Hk7MEOEZeVf7vyPBd7ILaH4j-HzLnz7UI-aKJYOQ==
</PRE>
<ADDRESS>
</ADDRESS>
</BODY></HTML>"
