URL,TTL,Message
adf.ly,1,timed out
adf.ly,2,timed out
adf.ly,3,timed out
adf.ly,4,timed out
adf.ly,5,"HTTP/1.1 409 Conflict
Date: Tue, 21 Jan 2020 19:07:10 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d35178bb3307c01ca011b3e20cefdbf0d1579633630; expires=Thu, 20-Feb-20 19:07:10 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Tue, 21 Jan 2020 19:07:16 GMT
Server: cloudflare
CF-RAY: 558b91ce990b8b68-KBP

10
error code: 1001
0

"
adf.ly,6,"HTTP/1.1 409 Conflict
Date: Tue, 21 Jan 2020 19:07:10 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d286a2532ba9ddb196ed5ebbd6b2df5ab1579633630; expires=Thu, 20-Feb-20 19:07:10 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Tue, 21 Jan 2020 19:07:16 GMT
Server: cloudflare
CF-RAY: 558b91ceaa0b8b08-KBP

10
error code: 1001
0

"
adf.ly,7,"HTTP/1.1 409 Conflict
Date: Tue, 21 Jan 2020 19:07:10 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d7bb44791d81af74790d13975cb363a261579633630; expires=Thu, 20-Feb-20 19:07:10 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Tue, 21 Jan 2020 19:07:16 GMT
Server: cloudflare
CF-RAY: 558b91ceb9868acc-KBP

10
error code: 1001
0

"
adf.ly,8,"HTTP/1.1 409 Conflict
Date: Tue, 21 Jan 2020 19:07:10 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d1c7c4a8500b98edc71b8255e49aa39d11579633630; expires=Thu, 20-Feb-20 19:07:10 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Tue, 21 Jan 2020 19:07:16 GMT
Server: cloudflare
CF-RAY: 558b91ceb8c6820b-KBP

10
error code: 1001
0

"
adf.ly,9,"HTTP/1.1 409 Conflict
Date: Tue, 21 Jan 2020 19:07:10 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d26de3dae121c1af9c650f8cccdf740db1579633630; expires=Thu, 20-Feb-20 19:07:10 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Tue, 21 Jan 2020 19:07:16 GMT
Server: cloudflare
CF-RAY: 558b91ced8468af6-KBP

10
error code: 1001
0

"
adf.ly,10,"HTTP/1.1 409 Conflict
Date: Tue, 21 Jan 2020 19:07:10 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=db030deaf0968d63d0945eb26bcbc45801579633630; expires=Thu, 20-Feb-20 19:07:10 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Tue, 21 Jan 2020 19:07:16 GMT
Server: cloudflare
CF-RAY: 558b91cedccb83e6-KBP

10
error code: 1001
"
adf.ly,11,"HTTP/1.1 409 Conflict
Date: Tue, 21 Jan 2020 19:07:10 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d7dd2c8929360056a14548ad1f4b74ddd1579633630; expires=Thu, 20-Feb-20 19:07:10 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Tue, 21 Jan 2020 19:07:16 GMT
Server: cloudflare
CF-RAY: 558b91cee9608235-KBP

10
error code: 1001
0

"
adf.ly,12,"HTTP/1.1 409 Conflict
Date: Tue, 21 Jan 2020 19:07:10 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d7dd2c8929360056a14548ad1f4b74ddd1579633630; expires=Thu, 20-Feb-20 19:07:10 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Tue, 21 Jan 2020 19:07:16 GMT
Server: cloudflare
CF-RAY: 558b91cef9698235-KBP

10
error code: 1001
0

"
adf.ly,13,"HTTP/1.1 409 Conflict
Date: Tue, 21 Jan 2020 19:07:10 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d7ac8e4c8d4d9799dabd194c9af8bdf261579633630; expires=Thu, 20-Feb-20 19:07:10 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Tue, 21 Jan 2020 19:07:16 GMT
Server: cloudflare
CF-RAY: 558b91cefae28b98-KBP

10
error code: 1001
0

"
adf.ly,14,"HTTP/1.1 409 Conflict
Date: Tue, 21 Jan 2020 19:07:10 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d2a4da727a9d8a9b9c1b40b74bbd8505b1579633630; expires=Thu, 20-Feb-20 19:07:10 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Tue, 21 Jan 2020 19:07:16 GMT
Server: cloudflare
CF-RAY: 558b91cf09b8844c-KBP

10
error code: 1001
0

"
adf.ly,15,"HTTP/1.1 409 Conflict
Date: Tue, 21 Jan 2020 19:07:10 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d61ac88a9768f4d1bd9347c07caef17671579633630; expires=Thu, 20-Feb-20 19:07:10 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Tue, 21 Jan 2020 19:07:16 GMT
Server: cloudflare
CF-RAY: 558b91cf0bd28ac6-KBP

10
error code: 1001
0

"
