URL,TTL,Message
discovercard.com,1,timed out
discovercard.com,2,timed out
discovercard.com,3,timed out
discovercard.com,4,timed out
discovercard.com,5,timed out
discovercard.com,6,timed out
discovercard.com,7,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 209
Expires: Tue, 21 Jan 2020 05:20:11 GMT
Date: Tue, 21 Jan 2020 05:20:11 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;ad0c1502&#46;1579584011&#46;34fb0350
</BODY></HTML>
"
discovercard.com,8,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 209
Expires: Tue, 21 Jan 2020 05:20:12 GMT
Date: Tue, 21 Jan 2020 05:20:12 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;5cb57b5c&#46;1579584012&#46;1829c89c
</BODY></HTML>
"
discovercard.com,9,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 209
Expires: Tue, 21 Jan 2020 05:20:13 GMT
Date: Tue, 21 Jan 2020 05:20:13 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;5cb57b5c&#46;1579584013&#46;1829c9c3
</BODY></HTML>
"
discovercard.com,10,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 209
Expires: Tue, 21 Jan 2020 05:20:13 GMT
Date: Tue, 21 Jan 2020 05:20:13 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;5cb57b5c&#46;1579584013&#46;1829c9d3
</BODY></HTML>
"
