URL,TTL,Message
goo.ne.jp,1,timed out
goo.ne.jp,2,timed out
goo.ne.jp,3,timed out
goo.ne.jp,4,timed out
goo.ne.jp,5,timed out
goo.ne.jp,6,timed out
goo.ne.jp,7,timed out
goo.ne.jp,8,timed out
goo.ne.jp,9,timed out
goo.ne.jp,10,timed out
goo.ne.jp,11,timed out
goo.ne.jp,12,timed out
goo.ne.jp,13,timed out
goo.ne.jp,14,timed out
goo.ne.jp,15,timed out
goo.ne.jp,16,timed out
goo.ne.jp,17,"HTTP/1.1 301 Moved Permanently
Date: Tue, 21 Jan 2020 19:56:04 GMT
Server: Apache
Location: https://ojaloberoi.in/
Content-Length: 230
Connection: close
Content-Type: text/html; charset=iso-8859-1

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>301 Moved Permanently</title>
</head><body>
<h1>Moved Permanently</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
</body></html>
"
goo.ne.jp,18,"HTTP/1.1 301 Moved Permanently
Date: Tue, 21 Jan 2020 19:56:05 GMT
Server: Apache
Location: https://ojaloberoi.in/
Content-Length: 230
Connection: close
Content-Type: text/html; charset=iso-8859-1

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>301 Moved Permanently</title>
</head><body>
<h1>Moved Permanently</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
</body></html>
"
goo.ne.jp,19,"HTTP/1.1 301 Moved Permanently
Date: Tue, 21 Jan 2020 19:56:05 GMT
Server: Apache
Location: https://ojaloberoi.in/
Content-Length: 230
Connection: close
Content-Type: text/html; charset=iso-8859-1

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>301 Moved Permanently</title>
</head><body>
<h1>Moved Permanently</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
</body></html>
"
goo.ne.jp,20,"HTTP/1.1 301 Moved Permanently
Date: Tue, 21 Jan 2020 19:56:06 GMT
Server: Apache
Location: https://ojaloberoi.in/
Content-Length: 230
Connection: close
Content-Type: text/html; charset=iso-8859-1

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>301 Moved Permanently</title>
</head><body>
<h1>Moved Permanently</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
</body></html>
"
goo.ne.jp,21,"HTTP/1.1 301 Moved Permanently
Date: Tue, 21 Jan 2020 19:56:06 GMT
Server: Apache
Location: https://ojaloberoi.in/
Content-Length: 230
Connection: close
Content-Type: text/html; charset=iso-8859-1

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>301 Moved Permanently</title>
</head><body>
<h1>Moved Permanently</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
</body></html>
"
goo.ne.jp,22,"HTTP/1.1 301 Moved Permanently
Date: Tue, 21 Jan 2020 19:56:07 GMT
Server: Apache
Location: https://ojaloberoi.in/
Content-Length: 230
Connection: close
Content-Type: text/html; charset=iso-8859-1

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>301 Moved Permanently</title>
</head><body>
<h1>Moved Permanently</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
</body></html>
"
goo.ne.jp,23,"HTTP/1.1 301 Moved Permanently
Date: Tue, 21 Jan 2020 19:56:08 GMT
Server: Apache
Location: https://ojaloberoi.in/
Content-Length: 230
Connection: close
Content-Type: text/html; charset=iso-8859-1

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>301 Moved Permanently</title>
</head><body>
<h1>Moved Permanently</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
</body></html>
"
goo.ne.jp,24,"HTTP/1.1 301 Moved Permanently
Date: Tue, 21 Jan 2020 19:56:08 GMT
Server: Apache
Location: https://ojaloberoi.in/
Content-Length: 230
Connection: close
Content-Type: text/html; charset=iso-8859-1

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>301 Moved Permanently</title>
</head><body>
<h1>Moved Permanently</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
</body></html>
"
goo.ne.jp,25,"HTTP/1.1 301 Moved Permanently
Date: Tue, 21 Jan 2020 19:56:09 GMT
Server: Apache
Location: https://ojaloberoi.in/
Content-Length: 230
Connection: close
Content-Type: text/html; charset=iso-8859-1

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>301 Moved Permanently</title>
</head><body>
<h1>Moved Permanently</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
</body></html>
"
goo.ne.jp,26,"HTTP/1.1 301 Moved Permanently
Date: Tue, 21 Jan 2020 19:56:09 GMT
Server: Apache
Location: https://ojaloberoi.in/
Content-Length: 230
Connection: close
Content-Type: text/html; charset=iso-8859-1

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>301 Moved Permanently</title>
</head><body>
<h1>Moved Permanently</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
</body></html>
"
goo.ne.jp,27,"HTTP/1.1 301 Moved Permanently
Date: Tue, 21 Jan 2020 19:56:10 GMT
Server: Apache
Location: https://ojaloberoi.in/
Content-Length: 230
Connection: close
Content-Type: text/html; charset=iso-8859-1

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>301 Moved Permanently</title>
</head><body>
<h1>Moved Permanently</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
</body></html>
"
