URL,TTL,Message
hateit.ru,1,timed out
hateit.ru,2,timed out
hateit.ru,3,timed out
hateit.ru,4,timed out
hateit.ru,5,"HTTP/1.1 404 Not Found
Date: Wed, 22 Jan 2020 17:48:22 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 1
Connection: keep-alive
Server: Apache/2.2.15 (CentOS)
X-Powered-By: PHP/5.4.16
Set-Cookie: SESS1dd5aace3cedc7dcba8b94b0826811ff=crtibgn7fj5a7q1f22ngdm6gi1; expires=Fri, 14-Feb-2020 21:21:42 GMT; path=/; domain=.ojaloberoi.in
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: store, no-cache, must-revalidate
Cache-Control: post-check=0, pre-check=0
Vary: Accept-Encoding

 "
hateit.ru,6,"HTTP/1.1 404 Not Found
Date: Wed, 22 Jan 2020 17:48:22 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 1
Connection: keep-alive
Server: Apache/2.2.15 (CentOS)
X-Powered-By: PHP/5.4.16
Set-Cookie: SESS1dd5aace3cedc7dcba8b94b0826811ff=76u1mloe3crbts19704c0eml36; expires=Fri, 14-Feb-2020 21:21:42 GMT; path=/; domain=.ojaloberoi.in
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: store, no-cache, must-revalidate
Cache-Control: post-check=0, pre-check=0
Vary: Accept-Encoding

 "
hateit.ru,7,"HTTP/1.1 404 Not Found
Date: Wed, 22 Jan 2020 17:48:22 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 1
Connection: keep-alive
Server: Apache/2.2.15 (CentOS)
X-Powered-By: PHP/5.4.16
Set-Cookie: SESS1dd5aace3cedc7dcba8b94b0826811ff=tjjv7cq27tqsj7fcon8dankrv0; expires=Fri, 14-Feb-2020 21:21:42 GMT; path=/; domain=.ojaloberoi.in
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: store, no-cache, must-revalidate
Cache-Control: post-check=0, pre-check=0
Vary: Accept-Encoding

 "
hateit.ru,8,"HTTP/1.1 404 Not Found
Date: Wed, 22 Jan 2020 17:48:22 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 1
Connection: keep-alive
Server: Apache/2.2.15 (CentOS)
X-Powered-By: PHP/5.4.16
Set-Cookie: SESS1dd5aace3cedc7dcba8b94b0826811ff=b5fpp24otpsj0kvue6srus4ot5; expires=Fri, 14-Feb-2020 21:21:42 GMT; path=/; domain=.ojaloberoi.in
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: store, no-cache, must-revalidate
Cache-Control: post-check=0, pre-check=0
Vary: Accept-Encoding

 "
hateit.ru,9,"HTTP/1.1 404 Not Found
Date: Wed, 22 Jan 2020 17:48:22 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 1
Connection: keep-alive
Server: Apache/2.2.15 (CentOS)
X-Powered-By: PHP/5.4.16
Set-Cookie: SESS1dd5aace3cedc7dcba8b94b0826811ff=pde3cl8954l7eqfapk8qhld854; expires=Fri, 14-Feb-2020 21:21:42 GMT; path=/; domain=.ojaloberoi.in
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: store, no-cache, must-revalidate
Cache-Control: post-check=0, pre-check=0
Vary: Accept-Encoding

 "
hateit.ru,10,"HTTP/1.1 404 Not Found
Date: Wed, 22 Jan 2020 17:48:22 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 1
Connection: keep-alive
Server: Apache/2.2.15 (CentOS)
X-Powered-By: PHP/5.4.16
Set-Cookie: SESS1dd5aace3cedc7dcba8b94b0826811ff=8h3gu1g6fjsboi1mq00h60g5c7; expires=Fri, 14-Feb-2020 21:21:42 GMT; path=/; domain=.ojaloberoi.in
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: store, no-cache, must-revalidate
Cache-Control: post-check=0, pre-check=0
Vary: Accept-Encoding

 "
