URL,TTL,Message
hm.com,1,timed out
hm.com,2,timed out
hm.com,3,timed out
hm.com,4,timed out
hm.com,5,timed out
hm.com,6,timed out
hm.com,7,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 209
Expires: Tue, 21 Jan 2020 19:49:36 GMT
Date: Tue, 21 Jan 2020 19:49:36 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;c3453c17&#46;1579636176&#46;aec18c28
</BODY></HTML>
"
hm.com,8,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 208
Expires: Tue, 21 Jan 2020 19:49:37 GMT
Date: Tue, 21 Jan 2020 19:49:37 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;ca453c17&#46;1579636177&#46;536ac65
</BODY></HTML>
"
hm.com,9,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 208
Expires: Tue, 21 Jan 2020 19:49:37 GMT
Date: Tue, 21 Jan 2020 19:49:37 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;ca453c17&#46;1579636177&#46;536ad73
</BODY></HTML>
"
hm.com,10,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 208
Expires: Tue, 21 Jan 2020 19:49:37 GMT
Date: Tue, 21 Jan 2020 19:49:37 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;ca453c17&#46;1579636177&#46;536add3
</BODY></HTML>
"
