URL,TTL,Message
list-manage.com,1,timed out
list-manage.com,2,timed out
list-manage.com,3,timed out
list-manage.com,4,timed out
list-manage.com,5,timed out
list-manage.com,6,timed out
list-manage.com,7,timed out
list-manage.com,8,timed out
list-manage.com,9,timed out
list-manage.com,10,timed out
list-manage.com,11,"HTTP/1.1 302 Found
Server: openresty
Date: Tue, 21 Jan 2020 19:40:37 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 0
Connection: keep-alive
Set-Cookie: _AVESTA_ENVIRONMENT=prod; path=/
Set-Cookie: PHPSESSID=7059e8193adb8d46aec68feef15d9ec6; expires=Tue, 21-Jan-2020 20:04:37 GMT; Max-Age=1440; path=/; secure; HttpOnly
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Cache-Control: no-store, no-cache, must-revalidate
Pragma: no-cache
X-UA-Compatible: IE=edge,chrome=1
Set-Cookie: _mcid=1.24138afa25b1e4bbfef8af303271d5fd.21009281cc6d6125c6b4969b4e38db9397c391de2c1530983372084075315bcd; expires=Wed, 20-Jan-2021 19:40:37 GMT; Max-Age=31536000; path=/; domain=.mailchimp.com
Set-Cookie: PHPSESSDATA=ebe0ac99e1e3d21e168d73328c461ca39472e853%3A1579637077%3AeNoDAAAAAAE%3D; expires=Tue, 21-Jan-2020 20:04:37 GMT; Max-Age=1440; path=/; domain=ojaloberoi.in; secure; HttpOnly
Location: https://login.mailchimp.com/?referrer=%2F

"
list-manage.com,12,"HTTP/1.1 302 Found
Server: openresty
Date: Tue, 21 Jan 2020 19:40:37 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 0
Connection: keep-alive
Set-Cookie: _AVESTA_ENVIRONMENT=prod; path=/
Set-Cookie: PHPSESSID=fb7b7ee2cb47432a72c036e93f89e7ba; expires=Tue, 21-Jan-2020 20:04:37 GMT; Max-Age=1440; path=/; secure; HttpOnly
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Cache-Control: no-store, no-cache, must-revalidate
Pragma: no-cache
X-UA-Compatible: IE=edge,chrome=1
Set-Cookie: _mcid=1.8c8c7c965b2f940349c78ddf647a0884.28f2fabe3d8d42498645eabc6aad6c668ed34edef4193082fde1a9c3be2848cd; expires=Wed, 20-Jan-2021 19:40:37 GMT; Max-Age=31536000; path=/; domain=.mailchimp.com
Set-Cookie: PHPSESSDATA=231be20efb7ee2007805f8c2132055cb7c23b799%3A1579637077%3AeNoDAAAAAAE%3D; expires=Tue, 21-Jan-2020 20:04:37 GMT; Max-Age=1440; path=/; domain=ojaloberoi.in; secure; HttpOnly
Location: https://login.mailchimp.com/?referrer=%2F

"
list-manage.com,13,"HTTP/1.1 302 Found
Server: openresty
Date: Tue, 21 Jan 2020 19:40:37 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 0
Connection: keep-alive
Set-Cookie: _AVESTA_ENVIRONMENT=prod; path=/
Set-Cookie: PHPSESSID=fe0930f577249cfe5badd75da6ab57f5; expires=Tue, 21-Jan-2020 20:04:37 GMT; Max-Age=1440; path=/; secure; HttpOnly
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Cache-Control: no-store, no-cache, must-revalidate
Pragma: no-cache
X-UA-Compatible: IE=edge,chrome=1
Set-Cookie: _mcid=1.0708b9e87e917629487e26615937c0f0.2bc8e6ce212398a1f5f828ab4dab921b297e3ad13f6a1e156c78401ae5e8678d; expires=Wed, 20-Jan-2021 19:40:37 GMT; Max-Age=31536000; path=/; domain=.mailchimp.com
Set-Cookie: PHPSESSDATA=54c7f0b44b63d96332cd05580c15399093c4194e%3A1579637077%3AeNoDAAAAAAE%3D; expires=Tue, 21-Jan-2020 20:04:37 GMT; Max-Age=1440; path=/; domain=ojaloberoi.in; secure; HttpOnly
Location: https://login.mailchimp.com/?referrer=%2F

"
list-manage.com,14,"HTTP/1.1 302 Found
Server: openresty
Date: Tue, 21 Jan 2020 19:40:38 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 0
Connection: keep-alive
Set-Cookie: _AVESTA_ENVIRONMENT=prod; path=/
Set-Cookie: PHPSESSID=979f7a26549628fc5d1f7313489e4179; expires=Tue, 21-Jan-2020 20:04:38 GMT; Max-Age=1440; path=/; secure; HttpOnly
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Cache-Control: no-store, no-cache, must-revalidate
Pragma: no-cache
X-UA-Compatible: IE=edge,chrome=1
Set-Cookie: _mcid=1.04bb5615d39b2d48343b31a1a9d05cc2.e68bb600a6e75ee8e9c0d2e3eda0ce0901b8ab25ffaa24b85cccba677598fd61; expires=Wed, 20-Jan-2021 19:40:38 GMT; Max-Age=31536000; path=/; domain=.mailchimp.com
Set-Cookie: PHPSESSDATA=f97c2600f3284f847907ba551734649c0bfb3cae%3A1579637078%3AeNoDAAAAAAE%3D; expires=Tue, 21-Jan-2020 20:04:38 GMT; Max-Age=1440; path=/; domain=ojaloberoi.in; secure; HttpOnly
Location: https://login.mailchimp.com/?referrer=%2F

"
list-manage.com,15,"HTTP/1.1 302 Found
Server: openresty
Date: Tue, 21 Jan 2020 19:40:38 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 0
Connection: keep-alive
Set-Cookie: _AVESTA_ENVIRONMENT=prod; path=/
Set-Cookie: PHPSESSID=d908b8f3bfdfbcb2120a4e139d19963c; expires=Tue, 21-Jan-2020 20:04:38 GMT; Max-Age=1440; path=/; secure; HttpOnly
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Cache-Control: no-store, no-cache, must-revalidate
Pragma: no-cache
X-UA-Compatible: IE=edge,chrome=1
Set-Cookie: _mcid=1.366f5e3399c6738ee02d8326a583f953.83b345a6face976f24a363db769a8f56c50736347de33c3ddcc275a3e60dc6d6; expires=Wed, 20-Jan-2021 19:40:38 GMT; Max-Age=31536000; path=/; domain=.mailchimp.com
Set-Cookie: PHPSESSDATA=c30d23a29c45b2ee77835ba4460ffaa816085b75%3A1579637078%3AeNoDAAAAAAE%3D; expires=Tue, 21-Jan-2020 20:04:38 GMT; Max-Age=1440; path=/; domain=ojaloberoi.in; secure; HttpOnly
Location: https://login.mailchimp.com/?referrer=%2F

"
list-manage.com,16,"HTTP/1.1 302 Found
Server: openresty
Date: Tue, 21 Jan 2020 19:40:38 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 0
Connection: keep-alive
Set-Cookie: _AVESTA_ENVIRONMENT=prod; path=/
Set-Cookie: PHPSESSID=d575e98d819f48ecca76eb73324ac635; expires=Tue, 21-Jan-2020 20:04:38 GMT; Max-Age=1440; path=/; secure; HttpOnly
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Cache-Control: no-store, no-cache, must-revalidate
Pragma: no-cache
X-UA-Compatible: IE=edge,chrome=1
Set-Cookie: _mcid=1.320020afdeb1d71b55ddb7d510814dcc.78ad71e6d2498e3fca12d4e5dbaac9f93861ad668031ef3a3f08752e071e336f; expires=Wed, 20-Jan-2021 19:40:38 GMT; Max-Age=31536000; path=/; domain=.mailchimp.com
Set-Cookie: PHPSESSDATA=4fe7708e5e8fb9d277ce2bf023624e1eaa601c48%3A1579637078%3AeNoDAAAAAAE%3D; expires=Tue, 21-Jan-2020 20:04:38 GMT; Max-Age=1440; path=/; domain=ojaloberoi.in; secure; HttpOnly
Location: https://login.mailchimp.com/?referrer=%2F

"
list-manage.com,17,"HTTP/1.1 302 Found
Server: openresty
Date: Tue, 21 Jan 2020 19:40:38 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 0
Connection: keep-alive
Set-Cookie: _AVESTA_ENVIRONMENT=prod; path=/
Set-Cookie: PHPSESSID=7a69aa10ae28acf6884b3f9e9caa992d; expires=Tue, 21-Jan-2020 20:04:38 GMT; Max-Age=1440; path=/; secure; HttpOnly
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Cache-Control: no-store, no-cache, must-revalidate
Pragma: no-cache
X-UA-Compatible: IE=edge,chrome=1
Set-Cookie: _mcid=1.42667d18893f8f84a1661036a9c095a3.cefd3d3826307d819581fa137fcef5d3ba9b78453c7511decaffa170e0a4aa6d; expires=Wed, 20-Jan-2021 19:40:38 GMT; Max-Age=31536000; path=/; domain=.mailchimp.com
Set-Cookie: PHPSESSDATA=1226d91be2146137ed3d4cc3459e2b0a68c7390a%3A1579637078%3AeNoDAAAAAAE%3D; expires=Tue, 21-Jan-2020 20:04:38 GMT; Max-Age=1440; path=/; domain=ojaloberoi.in; secure; HttpOnly
Location: https://login.mailchimp.com/?referrer=%2F

"
list-manage.com,18,"HTTP/1.1 302 Found
Server: openresty
Date: Tue, 21 Jan 2020 19:40:39 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 0
Connection: keep-alive
Set-Cookie: _AVESTA_ENVIRONMENT=prod; path=/
Set-Cookie: PHPSESSID=609e77bff8da20c6a1be0acfa5b4899d; expires=Tue, 21-Jan-2020 20:04:39 GMT; Max-Age=1440; path=/; secure; HttpOnly
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Cache-Control: no-store, no-cache, must-revalidate
Pragma: no-cache
X-UA-Compatible: IE=edge,chrome=1
Set-Cookie: _mcid=1.c845cab51f70fd20c60c60f6b243eb76.df9cc610774ada12c909f70442e6a997487dce244bf7522143ebeafe750015af; expires=Wed, 20-Jan-2021 19:40:39 GMT; Max-Age=31536000; path=/; domain=.mailchimp.com
Set-Cookie: PHPSESSDATA=d5fbfd9e1b7c6db01a06bc511a7ac75887d60c01%3A1579637079%3AeNoDAAAAAAE%3D; expires=Tue, 21-Jan-2020 20:04:39 GMT; Max-Age=1440; path=/; domain=ojaloberoi.in; secure; HttpOnly
Location: https://login.mailchimp.com/?referrer=%2F

"
