URL,TTL,Message
manoramaonline.com,1,timed out
manoramaonline.com,2,timed out
manoramaonline.com,3,timed out
manoramaonline.com,4,timed out
manoramaonline.com,5,timed out
manoramaonline.com,6,timed out
manoramaonline.com,7,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 209
Expires: Tue, 21 Jan 2020 19:51:29 GMT
Date: Tue, 21 Jan 2020 19:51:29 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;563c1002&#46;1579636289&#46;6287dda8
</BODY></HTML>
"
manoramaonline.com,8,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 208
Expires: Tue, 21 Jan 2020 19:51:29 GMT
Date: Tue, 21 Jan 2020 19:51:29 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;e3c1002&#46;1579636289&#46;2ff7f999
</BODY></HTML>
"
manoramaonline.com,9,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 209
Expires: Tue, 21 Jan 2020 19:51:29 GMT
Date: Tue, 21 Jan 2020 19:51:29 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;563c1002&#46;1579636289&#46;6287dee6
</BODY></HTML>
"
manoramaonline.com,10,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 208
Expires: Tue, 21 Jan 2020 19:51:29 GMT
Date: Tue, 21 Jan 2020 19:51:29 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;e3c1002&#46;1579636289&#46;2ff7fa78
</BODY></HTML>
"
manoramaonline.com,11,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 209
Expires: Tue, 21 Jan 2020 19:51:29 GMT
Date: Tue, 21 Jan 2020 19:51:29 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;563c1002&#46;1579636289&#46;6287df6e
</BODY></HTML>
"
manoramaonline.com,12,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 209
Expires: Tue, 21 Jan 2020 19:51:29 GMT
Date: Tue, 21 Jan 2020 19:51:29 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;563c1002&#46;1579636289&#46;6287dfab
</BODY></HTML>
"
manoramaonline.com,13,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 208
Expires: Tue, 21 Jan 2020 19:51:29 GMT
Date: Tue, 21 Jan 2020 19:51:29 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;e3c1002&#46;1579636289&#46;2ff7fb40
</BODY></HTML>
"
manoramaonline.com,14,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 209
Expires: Tue, 21 Jan 2020 19:51:29 GMT
Date: Tue, 21 Jan 2020 19:51:29 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;563c1002&#46;1579636289&#46;6287e024
</BODY></HTML>
"
manoramaonline.com,15,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 208
Expires: Tue, 21 Jan 2020 19:51:29 GMT
Date: Tue, 21 Jan 2020 19:51:29 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;e3c1002&#46;1579636289&#46;2ff7fbc3
</BODY></HTML>
"
manoramaonline.com,16,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 209
Expires: Tue, 21 Jan 2020 19:51:29 GMT
Date: Tue, 21 Jan 2020 19:51:29 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;563c1002&#46;1579636289&#46;6287e0c6
</BODY></HTML>
"
manoramaonline.com,17,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 208
Expires: Tue, 21 Jan 2020 19:51:29 GMT
Date: Tue, 21 Jan 2020 19:51:29 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;e3c1002&#46;1579636289&#46;2ff7fc32
</BODY></HTML>
"
manoramaonline.com,18,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 209
Expires: Tue, 21 Jan 2020 19:51:30 GMT
Date: Tue, 21 Jan 2020 19:51:30 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;563c1002&#46;1579636290&#46;6287e160
</BODY></HTML>
"
manoramaonline.com,19,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 208
Expires: Tue, 21 Jan 2020 19:51:30 GMT
Date: Tue, 21 Jan 2020 19:51:30 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;e3c1002&#46;1579636290&#46;2ff7fcc6
</BODY></HTML>
"
manoramaonline.com,20,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 208
Expires: Tue, 21 Jan 2020 19:51:30 GMT
Date: Tue, 21 Jan 2020 19:51:30 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;e3c1002&#46;1579636290&#46;2ff7fd04
</BODY></HTML>
"
manoramaonline.com,21,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 209
Expires: Tue, 21 Jan 2020 19:51:30 GMT
Date: Tue, 21 Jan 2020 19:51:30 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;563c1002&#46;1579636290&#46;6287e263
</BODY></HTML>
"
