URL,TTL,Message
myanimelist.net,1,timed out
myanimelist.net,2,timed out
myanimelist.net,3,timed out
myanimelist.net,4,timed out
myanimelist.net,5,timed out
myanimelist.net,6,timed out
myanimelist.net,7,timed out
myanimelist.net,8,timed out
myanimelist.net,9,timed out
myanimelist.net,10,timed out
myanimelist.net,11,timed out
myanimelist.net,12,timed out
myanimelist.net,13,timed out
myanimelist.net,14,timed out
myanimelist.net,15,timed out
myanimelist.net,16,timed out
myanimelist.net,17,timed out
myanimelist.net,18,timed out
myanimelist.net,19,timed out
myanimelist.net,20,timed out
myanimelist.net,21,timed out
myanimelist.net,22,timed out
myanimelist.net,23,timed out
myanimelist.net,24,timed out
myanimelist.net,25,timed out
myanimelist.net,26,timed out
myanimelist.net,27,timed out
myanimelist.net,28,timed out
myanimelist.net,29,timed out
myanimelist.net,30,timed out
myanimelist.net,31,timed out
myanimelist.net,32,timed out
myanimelist.net,33,timed out
myanimelist.net,34,"HTTP/1.1 301 Moved Permanently
Date: Tue, 21 Jan 2020 19:22:08 GMT
Content-Type: text/html; charset=iso-8859-1
Content-Length: 230
Connection: keep-alive
Server: Apache
Location: https://ojaloberoi.in/
Vary: Accept-Encoding

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>301 Moved Permanently</title>
</head><body>
<h1>Moved Permanently</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
</body></html>
"
myanimelist.net,35,timed out
myanimelist.net,36,"HTTP/1.1 301 Moved Permanently
Date: Tue, 21 Jan 2020 19:22:19 GMT
Content-Type: text/html; charset=iso-8859-1
Content-Length: 230
Connection: keep-alive
Server: Apache
Location: https://ojaloberoi.in/
Vary: Accept-Encoding

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>301 Moved Permanently</title>
</head><body>
<h1>Moved Permanently</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
</body></html>
"
myanimelist.net,37,"HTTP/1.1 301 Moved Permanently
Date: Tue, 21 Jan 2020 19:22:19 GMT
Content-Type: text/html; charset=iso-8859-1
Content-Length: 230
Connection: keep-alive
Server: Apache
Location: https://ojaloberoi.in/
Vary: Accept-Encoding

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>301 Moved Permanently</title>
</head><body>
<h1>Moved Permanently</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
</body></html>
"
myanimelist.net,38,"HTTP/1.1 301 Moved Permanently
Date: Tue, 21 Jan 2020 19:22:20 GMT
Content-Type: text/html; charset=iso-8859-1
Content-Length: 230
Connection: keep-alive
Server: Apache
Location: https://ojaloberoi.in/
Vary: Accept-Encoding

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>301 Moved Permanently</title>
</head><body>
<h1>Moved Permanently</h1>
<p>The document has moved <a href=""https://ojaloberoi.in/"">here</a>.</p>
</body></html>
"
