URL,TTL,Message
newsland.com,1,timed out
newsland.com,2,timed out
newsland.com,3,timed out
newsland.com,4,timed out
newsland.com,5,"HTTP/1.1 409 Conflict
Date: Wed, 22 Jan 2020 17:40:40 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d8565d4d438aa93cde200fef6c7d738c01579714840; expires=Fri, 21-Feb-20 17:40:40 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Wed, 22 Jan 2020 17:40:46 GMT
Server: cloudflare
CF-RAY: 5593507aaecffd01-OTP

10
error code: 1001
0

"
newsland.com,6,"HTTP/1.1 409 Conflict
Date: Wed, 22 Jan 2020 17:40:40 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=dbd80b4f7a167c9cbe8d0559eb87ae7ea1579714840; expires=Fri, 21-Feb-20 17:40:40 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Wed, 22 Jan 2020 17:40:46 GMT
Server: cloudflare
CF-RAY: 5593507aea12acee-OTP

10
error code: 1001
0

"
newsland.com,7,"HTTP/1.1 409 Conflict
Date: Wed, 22 Jan 2020 17:40:40 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d8565d4d438aa93cde200fef6c7d738c01579714840; expires=Fri, 21-Feb-20 17:40:40 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Wed, 22 Jan 2020 17:40:46 GMT
Server: cloudflare
CF-RAY: 5593507b3923fd01-OTP

10
error code: 1001
0

"
newsland.com,8,"HTTP/1.1 409 Conflict
Date: Wed, 22 Jan 2020 17:40:40 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d9124ba3aba0cdb72126d2ab2667c743a1579714840; expires=Fri, 21-Feb-20 17:40:40 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Wed, 22 Jan 2020 17:40:46 GMT
Server: cloudflare
CF-RAY: 5593507b7f09ac9a-OTP

10
error code: 1001
0

"
newsland.com,9,"HTTP/1.1 409 Conflict
Date: Wed, 22 Jan 2020 17:40:40 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d8565d4d438aa93cde200fef6c7d738c01579714840; expires=Fri, 21-Feb-20 17:40:40 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Wed, 22 Jan 2020 17:40:46 GMT
Server: cloudflare
CF-RAY: 5593507bbad3fd01-OTP

10
error code: 1001
0

"
newsland.com,10,"HTTP/1.1 409 Conflict
Date: Wed, 22 Jan 2020 17:40:40 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=dfeb69593991a4cf45d5ce909bbf9a0671579714840; expires=Fri, 21-Feb-20 17:40:40 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Wed, 22 Jan 2020 17:40:46 GMT
Server: cloudflare
CF-RAY: 5593507bf9282936-OTP

10
error code: 1001
0

"
