URL,TTL,Message
poloniex.com,1,timed out
poloniex.com,2,timed out
poloniex.com,3,timed out
poloniex.com,4,timed out
poloniex.com,5,"HTTP/1.1 409 Conflict
Date: Tue, 21 Jan 2020 18:50:04 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d3367bcaab1717b08cea254b46da138501579632604; expires=Thu, 20-Feb-20 18:50:04 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Tue, 21 Jan 2020 18:50:10 GMT
Server: cloudflare
CF-RAY: 558b78c2e9498b50-KBP

10
error code: 1001
0

"
poloniex.com,6,"HTTP/1.1 409 Conflict
Date: Tue, 21 Jan 2020 18:50:04 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=dfcffcc75dbfb6d4490fb0c842b1a8b651579632604; expires=Thu, 20-Feb-20 18:50:04 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Tue, 21 Jan 2020 18:50:10 GMT
Server: cloudflare
CF-RAY: 558b78c2f9288ab4-KBP

10
error code: 1001
0

"
poloniex.com,7,"HTTP/1.1 409 Conflict
Date: Tue, 21 Jan 2020 18:50:04 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d0afac3208e05ea2e3bd49ec5300e48931579632604; expires=Thu, 20-Feb-20 18:50:04 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Tue, 21 Jan 2020 18:50:10 GMT
Server: cloudflare
CF-RAY: 558b78c309578b86-KBP

10
error code: 1001
0

"
poloniex.com,8,"HTTP/1.1 409 Conflict
Date: Tue, 21 Jan 2020 18:50:04 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=df83b253df27313d22cbe0f09e2dfd7001579632604; expires=Thu, 20-Feb-20 18:50:04 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Tue, 21 Jan 2020 18:50:10 GMT
Server: cloudflare
CF-RAY: 558b78c31e5f8223-KBP

10
error code: 1001
"
poloniex.com,9,"HTTP/1.1 409 Conflict
Date: Tue, 21 Jan 2020 18:50:04 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d07c849dd117dce3528787ba9accde5b51579632604; expires=Thu, 20-Feb-20 18:50:04 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Tue, 21 Jan 2020 18:50:10 GMT
Server: cloudflare
CF-RAY: 558b78c32aea8b8c-KBP

10
error code: 1001
0

"
poloniex.com,10,"HTTP/1.1 409 Conflict
Date: Tue, 21 Jan 2020 18:50:04 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=dd34a514278a6d6289cfddcb5f63548571579632604; expires=Thu, 20-Feb-20 18:50:04 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Tue, 21 Jan 2020 18:50:10 GMT
Server: cloudflare
CF-RAY: 558b78c328ef8acc-KBP

10
error code: 1001
0

"
