URL,TTL,Message
souq.com,1,timed out
souq.com,2,timed out
souq.com,3,timed out
souq.com,4,timed out
souq.com,5,timed out
souq.com,6,timed out
souq.com,7,timed out
souq.com,8,timed out
souq.com,9,timed out
souq.com,10,timed out
souq.com,11,timed out
souq.com,12,timed out
souq.com,13,timed out
souq.com,14,timed out
souq.com,15,timed out
souq.com,16,timed out
souq.com,17,timed out
souq.com,18,timed out
souq.com,19,timed out
souq.com,20,timed out
souq.com,21,timed out
souq.com,22,timed out
souq.com,23,timed out
souq.com,24,"HTTP/1.1 301 Moved Permanently
Content-Type: text/html; charset=iso-8859-1
Date: Tue, 21 Jan 2020 19:38:42 GMT
Location: http://souq.com/
Server: Apache
Content-Length: 224
Connection: keep-alive

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>301 Moved Permanently</title>
</head><body>
<h1>Moved Permanently</h1>
<p>The document has moved <a href=""http://souq.com/"">here</a>.</p>
</body></html>
"
souq.com,25,"HTTP/1.1 301 Moved Permanently
Content-Type: text/html; charset=iso-8859-1
Date: Tue, 21 Jan 2020 19:38:42 GMT
Location: http://souq.com/
Server: Apache
Content-Length: 224
Connection: keep-alive

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>301 Moved Permanently</title>
</head><body>
<h1>Moved Permanently</h1>
<p>The document has moved <a href=""http://souq.com/"">here</a>.</p>
</body></html>
"
souq.com,26,timed out
souq.com,27,"HTTP/1.1 301 Moved Permanently
Content-Type: text/html; charset=iso-8859-1
Date: Tue, 21 Jan 2020 19:38:52 GMT
Location: http://souq.com/
Server: Apache
Content-Length: 224
Connection: keep-alive

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>301 Moved Permanently</title>
</head><body>
<h1>Moved Permanently</h1>
<p>The document has moved <a href=""http://souq.com/"">here</a>.</p>
</body></html>
"
souq.com,28,"HTTP/1.1 301 Moved Permanently
Content-Type: text/html; charset=iso-8859-1
Date: Tue, 21 Jan 2020 19:38:53 GMT
Location: http://souq.com/
Server: Apache
Content-Length: 224
Connection: keep-alive

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>301 Moved Permanently</title>
</head><body>
<h1>Moved Permanently</h1>
<p>The document has moved <a href=""http://souq.com/"">here</a>.</p>
</body></html>
"
souq.com,29,"HTTP/1.1 301 Moved Permanently
Content-Type: text/html; charset=iso-8859-1
Date: Tue, 21 Jan 2020 19:38:53 GMT
Location: http://souq.com/
Server: Apache
Content-Length: 224
Connection: keep-alive

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>301 Moved Permanently</title>
</head><body>
<h1>Moved Permanently</h1>
<p>The document has moved <a href=""http://souq.com/"">here</a>.</p>
</body></html>
"
