URL,TTL,Message
mashable.com,1,timed out
mashable.com,2,timed out
mashable.com,3,timed out
mashable.com,4,timed out
mashable.com,5,timed out
mashable.com,6,timed out
mashable.com,7,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 206
Expires: Thu, 16 Jan 2020 05:54:28 GMT
Date: Thu, 16 Jan 2020 05:54:28 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;d14655f&#46;1579154068&#46;c3a12d
</BODY></HTML>
"
mashable.com,8,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 206
Expires: Thu, 16 Jan 2020 05:54:29 GMT
Date: Thu, 16 Jan 2020 05:54:29 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;d14655f&#46;1579154069&#46;c3a19d
</BODY></HTML>
"
mashable.com,9,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 206
Expires: Thu, 16 Jan 2020 05:54:29 GMT
Date: Thu, 16 Jan 2020 05:54:29 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;d14655f&#46;1579154069&#46;c3a1b8
</BODY></HTML>
"
mashable.com,10,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 206
Expires: Thu, 16 Jan 2020 05:54:29 GMT
Date: Thu, 16 Jan 2020 05:54:29 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;d14655f&#46;1579154069&#46;c3a1d2
</BODY></HTML>
"
mashable.com,11,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 206
Expires: Thu, 16 Jan 2020 05:54:29 GMT
Date: Thu, 16 Jan 2020 05:54:29 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;d14655f&#46;1579154069&#46;c3a1f4
</BODY></HTML>
"
mashable.com,12,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 206
Expires: Thu, 16 Jan 2020 05:54:29 GMT
Date: Thu, 16 Jan 2020 05:54:29 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;d14655f&#46;1579154069&#46;c3a216
</BODY></HTML>
"
mashable.com,13,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 206
Expires: Thu, 16 Jan 2020 05:54:29 GMT
Date: Thu, 16 Jan 2020 05:54:29 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;d14655f&#46;1579154069&#46;c3a230
</BODY></HTML>
"
mashable.com,14,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 206
Expires: Thu, 16 Jan 2020 05:54:29 GMT
Date: Thu, 16 Jan 2020 05:54:29 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;d14655f&#46;1579154069&#46;c3a247
</BODY></HTML>
"
mashable.com,15,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 206
Expires: Thu, 16 Jan 2020 05:54:29 GMT
Date: Thu, 16 Jan 2020 05:54:29 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;d14655f&#46;1579154069&#46;c3a25d
</BODY></HTML>
"
