URL,TTL,Message
hc.ru,1,timed out
hc.ru,2,timed out
hc.ru,3,timed out
hc.ru,4,timed out
hc.ru,5,timed out
hc.ru,6,timed out
hc.ru,7,timed out
hc.ru,8,timed out
hc.ru,9,timed out
hc.ru,10,timed out
hc.ru,11,timed out
hc.ru,12,timed out
hc.ru,13,timed out
hc.ru,14,[Errno 104] Connection reset by peer
hc.ru,15,[Errno 104] Connection reset by peer
hc.ru,16,[Errno 104] Connection reset by peer
hc.ru,17,[Errno 104] Connection reset by peer
hc.ru,18,[Errno 104] Connection reset by peer
hc.ru,19,[Errno 104] Connection reset by peer
hc.ru,20,[Errno 104] Connection reset by peer
hc.ru,21,[Errno 104] Connection reset by peer
hc.ru,22,[Errno 104] Connection reset by peer
hc.ru,23,[Errno 104] Connection reset by peer
hc.ru,24,[Errno 104] Connection reset by peer
hc.ru,25,[Errno 104] Connection reset by peer
hc.ru,26,[Errno 104] Connection reset by peer
hc.ru,27,[Errno 104] Connection reset by peer
hc.ru,28,[Errno 104] Connection reset by peer
hc.ru,29,[Errno 104] Connection reset by peer
