URL,TTL,Message
polit.ru,1,timed out
polit.ru,2,timed out
polit.ru,3,timed out
polit.ru,4,timed out
polit.ru,5,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 05:19:38 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d89520adda43c1a1a7fb2a63eed29b5d81579756778; expires=Sat, 22-Feb-20 05:19:38 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 05:19:44 GMT
Server: cloudflare
CF-RAY: 55975057f833ad1e-OTP

10
error code: 1001
0

"
polit.ru,6,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 05:19:38 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d7f5b75ab15fe1fcd03a4e82ff7ce55741579756778; expires=Sat, 22-Feb-20 05:19:38 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 05:19:44 GMT
Server: cloudflare
CF-RAY: 559750583d41290c-OTP

10
error code: 1001
0

"
polit.ru,7,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 05:19:38 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d26781869c0c6a7d9687ca85f773c79b91579756778; expires=Sat, 22-Feb-20 05:19:38 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 05:19:44 GMT
Server: cloudflare
CF-RAY: 559750588956acf4-OTP

10
error code: 1001
0

"
polit.ru,8,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 05:19:38 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=de70d3c3778ddb3ab3c9ed97d451b62aa1579756778; expires=Sat, 22-Feb-20 05:19:38 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 05:19:44 GMT
Server: cloudflare
CF-RAY: 55975058ce0afd0d-OTP

10
error code: 1001
0

"
polit.ru,9,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 05:19:38 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=dd4775959623987381318a64d0e44de731579756778; expires=Sat, 22-Feb-20 05:19:38 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 05:19:44 GMT
Server: cloudflare
CF-RAY: 55975058f84f2906-OTP

10
error code: 1001
0

"
polit.ru,10,"HTTP/1.1 409 Conflict
Date: Thu, 23 Jan 2020 05:19:38 GMT
Content-Type: text/plain; charset=UTF-8
Transfer-Encoding: chunked
Connection: close
Set-Cookie: __cfduid=d7cc00f488a2eaa4bbda8f1ebc61bc7481579756778; expires=Sat, 22-Feb-20 05:19:38 GMT; path=/; domain=.ojaloberoi.in; HttpOnly; SameSite=Lax
Cache-Control: max-age=6
Expires: Thu, 23 Jan 2020 05:19:44 GMT
Server: cloudflare
CF-RAY: 559750594b67fcfd-OTP

10
error code: 1001
0

"
