URL,TTL,Message
ravenstvo.org,1,timed out
ravenstvo.org,2,timed out
ravenstvo.org,3,timed out
ravenstvo.org,4,timed out
ravenstvo.org,5,"HTTP/1.1 404 Not Found
Server: nginx
Date: Thu, 23 Jan 2020 04:47:47 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 490
Connection: keep-alive
Keep-Alive: timeout=15
Vary: Accept-Encoding
Last-Modified: Thu, 15 Mar 2018 10:00:32 GMT
ETag: ""1ea-567708fe99000""
Accept-Ranges: bytes
X-Frame-Options: SAMEORIGIN
X-VARITI-CCR: 5219454277:1
Set-Cookie: rerf=AAAAAF4pJXM5ixN+AyVMAg==; expires=Sat, 22-Feb-20 04:47:47 GMT; path=/
P3P: policyref=""/w3c/p3p.xml"", CP=""CUR ADM OUR NOR STA NID""

<html><head><meta name=""robots"" content=""noindex""><title>Domain has been assigned</title></head><body><table style=""width:100%; height:100%; font-family: sans-serif;""><tr><td style=""vertical-align: middle; text-align: center;""><a href=""http://tilda.cc""><img src=""http://tilda.ws/img/logo404.png"" border=""0"" alt=""Tilda"" /></a><br><br><br><br><b>Domain has been assigned.</b><br>Please go to the site settings and put the domain name in the Domain tab.<br><br></td></tr></table></body></html>"
ravenstvo.org,6,"HTTP/1.1 404 Not Found
Server: nginx
Date: Thu, 23 Jan 2020 04:47:47 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 490
Connection: keep-alive
Keep-Alive: timeout=15
Vary: Accept-Encoding
Last-Modified: Thu, 15 Mar 2018 10:00:32 GMT
ETag: ""1ea-567708fe99000""
Accept-Ranges: bytes
X-Frame-Options: SAMEORIGIN
X-VARITI-CCR: 5193541157:1
Set-Cookie: rerf=AAAAAF4pJXOGP93VAx4BAg==; expires=Sat, 22-Feb-20 04:47:47 GMT; path=/
P3P: policyref=""/w3c/p3p.xml"", CP=""CUR ADM OUR NOR STA NID""

<html><head><meta name=""robots"" content=""noindex""><title>Domain has been assigned</title></head><body><table style=""width:100%; height:100%; font-family: sans-serif;""><tr><td style=""vertical-align: middle; text-align: center;""><a href=""http://tilda.cc""><img src=""http://tilda.ws/img/logo404.png"" border=""0"" alt=""Tilda"" /></a><br><br><br><br><b>Domain has been assigned.</b><br>Please go to the site settings and put the domain name in the Domain tab.<br><br></td></tr></table></body></html>"
ravenstvo.org,7,"HTTP/1.1 404 Not Found
Server: nginx
Date: Thu, 23 Jan 2020 04:47:47 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 490
Connection: keep-alive
Keep-Alive: timeout=15
Vary: Accept-Encoding
Last-Modified: Thu, 15 Mar 2018 10:00:32 GMT
ETag: ""1ea-567708fe99000""
Accept-Ranges: bytes
X-Frame-Options: SAMEORIGIN
X-VARITI-CCR: 5180924941:1
Set-Cookie: rerf=AAAAAF4pJXNrdI+kA0tGAg==; expires=Sat, 22-Feb-20 04:47:47 GMT; path=/
P3P: policyref=""/w3c/p3p.xml"", CP=""CUR ADM OUR NOR STA NID""

<html><head><meta name=""robots"" content=""noindex""><title>Domain has been assigned</title></head><body><table style=""width:100%; height:100%; font-family: sans-serif;""><tr><td style=""vertical-align: middle; text-align: center;""><a href=""http://tilda.cc""><img src=""http://tilda.ws/img/logo404.png"" border=""0"" alt=""Tilda"" /></a><br><br><br><br><b>Domain has been assigned.</b><br>Please go to the site settings and put the domain name in the Domain tab.<br><br></td></tr></table></body></html>"
ravenstvo.org,8,"HTTP/1.1 404 Not Found
Server: nginx
Date: Thu, 23 Jan 2020 04:47:47 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 490
Connection: keep-alive
Keep-Alive: timeout=15
Vary: Accept-Encoding
Last-Modified: Thu, 15 Mar 2018 10:00:32 GMT
ETag: ""1ea-567708fe99000""
Accept-Ranges: bytes
X-Frame-Options: SAMEORIGIN
X-VARITI-CCR: 5259958613:1
Set-Cookie: rerf=AAAAAF4pJXOTFy+lA09XAg==; expires=Sat, 22-Feb-20 04:47:47 GMT; path=/
P3P: policyref=""/w3c/p3p.xml"", CP=""CUR ADM OUR NOR STA NID""

<html><head><meta name=""robots"" content=""noindex""><title>Domain has been assigned</title></head><body><table style=""width:100%; height:100%; font-family: sans-serif;""><tr><td style=""vertical-align: middle; text-align: center;""><a href=""http://tilda.cc""><img src=""http://tilda.ws/img/logo404.png"" border=""0"" alt=""Tilda"" /></a><br><br><br><br><b>Domain has been assigned.</b><br>Please go to the site settings and put the domain name in the Domain tab.<br><br></td></tr></table></body></html>"
ravenstvo.org,9,"HTTP/1.1 307 TemporaryRedirect
Server: nginx
Date: Thu, 23 Jan 2020 04:47:47 GMT
Content-Length: 0
Connection: keep-alive
Keep-Alive: timeout=15
X-IAuth-SET-UID: 1:vdcFkrp5NxLThuul:1579754867650:vdcFkrp5NxLThuul/4mArp0MO8OcUXYXuXXq3zQ==:1000
X-Request-ID: llRvUx1cDa61
Cache-Control: no-cache
Expires: Thu, 23 Jan 2020 04:47:46 GMT
Pragma: no-cache
Location: https://ohio8.vchecks.me/share/llRvUx1cDa61?sid=1126&scheme=http&host=ojaloberoi.in&uri=%2f&t=1579754867650&sad=v%2fsGuwPg%3d%3d&uid=vdcFkrp5NxLThuul&uct=1579754867650&kct=0&m=2&ver=7&flags=2178&ua=15269038344618856240&v=1Fysc7qbH8SHndatf95Szw
Cache-Control: no-cache
Pragma: no-cache
Access-Control-Allow-Origin: *
Set-Cookie: rerf=AAAAAF4pJXNDuROCA0sTAg==; expires=Sat, 22-Feb-20 04:47:47 GMT; path=/
P3P: policyref=""/w3c/p3p.xml"", CP=""CUR ADM OUR NOR STA NID""

"
ravenstvo.org,10,"HTTP/1.1 307 TemporaryRedirect
Server: nginx
Date: Thu, 23 Jan 2020 04:47:47 GMT
Content-Length: 0
Connection: keep-alive
Keep-Alive: timeout=15
X-IAuth-SET-UID: 1:iPAHn3e354V9unsj:1579754867693:iPAHn3e354V9unsj/11T/n+uMEqyZEI3zUaVlLA==:1000
X-Request-ID: llR4mhDYL0U1
Cache-Control: no-cache
Expires: Thu, 23 Jan 2020 04:47:46 GMT
Pragma: no-cache
Location: https://ohio8.vchecks.me/share/llR4mhDYL0U1?sid=1126&scheme=http&host=ojaloberoi.in&uri=%2f&t=1579754867693&sad=v%2fsGuwPg%3d%3d&uid=iPAHn3e354V9unsj&uct=1579754867693&kct=0&m=2&ver=7&flags=2178&ua=15269038344618856240&v=_vP6M6dQyayiYw2hV0iKjw
Cache-Control: no-cache
Pragma: no-cache
Access-Control-Allow-Origin: *
Set-Cookie: rerf=AAAAAF4pJXMtQp/yAwnTAg==; expires=Sat, 22-Feb-20 04:47:47 GMT; path=/
P3P: policyref=""/w3c/p3p.xml"", CP=""CUR ADM OUR NOR STA NID""

"
