URL,TTL,Message
russiajournal.com,1,timed out
russiajournal.com,2,timed out
russiajournal.com,3,timed out
russiajournal.com,4,timed out
russiajournal.com,5,timed out
russiajournal.com,6,timed out
russiajournal.com,7,timed out
russiajournal.com,8,timed out
russiajournal.com,9,timed out
russiajournal.com,10,timed out
russiajournal.com,11,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 05:21:21 GMT
Server: Apache
Upgrade: h2,h2c
Connection: Upgrade, Keep-Alive
Vary: Accept-Encoding
Cache-Control: no-cache
Keep-Alive: timeout=5, max=75
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

88d
<!DOCTYPE html>
<html data-adblockkey=""MFwwDQYJKoZIhvcNAQEBBQADSwAwSAJBAKX74ixpzVyXbJprcLfbH4psP4+L2entqri0lzh6pkAaXLPIcclv6DQBeJJjGFWrBIF6QMyFwXT5CCRyjS2penECAwEAAQ==_ecXtxbvpqV+0knZy/BbL+LiY4ybUWquErgc176hZ92edCuWnN0mSYPe8KjVoN0vMJTc/v5PK2MQWlbd9G1L3UQ=="">
<head>
<script type=""text/javascript"">var abp;</script><script type=""text/javascript"" src=""http://www.freeresultsguide.com/px.js?ch=1""></script><script type=""text/javascript"" src=""http://www.freeresultsguide.com/px.js?ch=2""></script><script type=""text/javascript"">function handleABPDetect(){try{var imglog = document.createElement(""img"");imglog.style.height=""0px"";imglog.style.width=""0px"";imglog.src=""http://www.freeresultsguide.com/sk-logabpstatus.php?a=Y3p0M2FSNWhrV2FQM0RYa3AxbWN1c21reEdLbE5QMTRuMVdMdUs4SHRjeVBqamxxSXNaemVHakhYdjFsWlFOWldObmVabGhXVDV3bkZwWGtUcjVsZnJveXRRaFJHTHpGbnE2UVh5TndxUjA9&b=""+abp;document.body.appendChild(imglog);}catch(err){}}</script>
    <meta charset=""utf-8"">
    <style type=""text/css"">
        html, body, #partner, iframe {
            height:100%;
            width:100%;
            margin:0;
            padding:0;
            border:0;
            outline:0;
            font-size:100%;
            vertical-align:baseline;
            background:transparent;
        }
        body {
            overflow:hidden;
        }
    </style>
    <meta content=""NOW"" name=""expires"">
    <meta content=""index, follow, all"" name=""GOOGLEBOT"">
    <meta content=""index, follow, all"" name=""robots"">
    <!-- Following Meta-Tag fixes scaling-issues on mobile devices -->
    <meta content=""width=device-width; initial-scale=1.0; maximum-scale=1.0; user-scalable=0;"" name=""viewport"">
</head>
<body>

<div id=""partner""></div>
<script type=""text/javascript"">
    document.write(
        '<script type=""text/javascript"" language=""JavaScript""'
        + 'src=""//sedoparking.com/frmpark/'
        + window.location.host + '/'
        + 'Skenzor1'
        + '/park.js"">'
        + '<\/script>'
    );
</script>
<script type=""text/javascript"" language=""javascript"">
try{if(typeof handleABPDetect==""function""){handleABPDetect();}}catch(err){}
</script>

</body>
</html>
"
russiajournal.com,12,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 05:21:23 GMT
Server: Apache
Upgrade: h2,h2c
Connection: Upgrade, Keep-Alive
Vary: Accept-Encoding
Cache-Control: no-cache
Keep-Alive: timeout=5, max=75
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

88d
<!DOCTYPE html>
<html data-adblockkey=""MFwwDQYJKoZIhvcNAQEBBQADSwAwSAJBAKX74ixpzVyXbJprcLfbH4psP4+L2entqri0lzh6pkAaXLPIcclv6DQBeJJjGFWrBIF6QMyFwXT5CCRyjS2penECAwEAAQ==_ecXtxbvpqV+0knZy/BbL+LiY4ybUWquErgc176hZ92edCuWnN0mSYPe8KjVoN0vMJTc/v5PK2MQWlbd9G1L3UQ=="">
<head>
<script type=""text/javascript"">var abp;</script><script type=""text/javascript"" src=""http://www.freeresultsguide.com/px.js?ch=1""></script><script type=""text/javascript"" src=""http://www.freeresultsguide.com/px.js?ch=2""></script><script type=""text/javascript"">function handleABPDetect(){try{var imglog = document.createElement(""img"");imglog.style.height=""0px"";imglog.style.width=""0px"";imglog.src=""http://www.freeresultsguide.com/sk-logabpstatus.php?a=T0NlUVhWVXpmQ3NWN3BCQklTVGVxdWZ4emhjckJtVVlvdUJDR1M5TllJSm12SzM5MU1UZ2U0Vk5nWkVyTWtzNE83djdwY0hDZ0hnaE8xaFFQdW1ZTjRPKzcvZ0FOWUgyQUVWdGUyaCsrSFU9&b=""+abp;document.body.appendChild(imglog);}catch(err){}}</script>
    <meta charset=""utf-8"">
    <style type=""text/css"">
        html, body, #partner, iframe {
            height:100%;
            width:100%;
            margin:0;
            padding:0;
            border:0;
            outline:0;
            font-size:100%;
            vertical-align:baseline;
            background:transparent;
        }
        body {
            overflow:hidden;
        }
    </style>
    <meta content=""NOW"" name=""expires"">
    <meta content=""index, follow, all"" name=""GOOGLEBOT"">
    <meta content=""index, follow, all"" name=""robots"">
    <!-- Following Meta-Tag fixes scaling-issues on mobile devices -->
    <meta content=""width=device-width; initial-scale=1.0; maximum-scale=1.0; user-scalable=0;"" name=""viewport"">
</head>
<body>

<div id=""partner""></div>
<script type=""text/javascript"">
    document.write(
        '<script type=""text/javascript"" language=""JavaScript""'
        + 'src=""//sedoparking.com/frmpark/'
        + window.location.host + '/'
        + 'Skenzor1'
        + '/park.js"">'
        + '<\/script>'
    );
</script>
<script type=""text/javascript"" language=""javascript"">
try{if(typeof handleABPDetect==""function""){handleABPDetect();}}catch(err){}
</script>

</body>
</html>
"
russiajournal.com,13,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 05:21:23 GMT
Server: Apache
Upgrade: h2,h2c
Connection: Upgrade, Keep-Alive
Vary: Accept-Encoding
Cache-Control: no-cache
Keep-Alive: timeout=5, max=75
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

88d
<!DOCTYPE html>
<html data-adblockkey=""MFwwDQYJKoZIhvcNAQEBBQADSwAwSAJBAKX74ixpzVyXbJprcLfbH4psP4+L2entqri0lzh6pkAaXLPIcclv6DQBeJJjGFWrBIF6QMyFwXT5CCRyjS2penECAwEAAQ==_ecXtxbvpqV+0knZy/BbL+LiY4ybUWquErgc176hZ92edCuWnN0mSYPe8KjVoN0vMJTc/v5PK2MQWlbd9G1L3UQ=="">
<head>
<script type=""text/javascript"">var abp;</script><script type=""text/javascript"" src=""http://www.freeresultsguide.com/px.js?ch=1""></script><script type=""text/javascript"" src=""http://www.freeresultsguide.com/px.js?ch=2""></script><script type=""text/javascript"">function handleABPDetect(){try{var imglog = document.createElement(""img"");imglog.style.height=""0px"";imglog.style.width=""0px"";imglog.src=""http://www.freeresultsguide.com/sk-logabpstatus.php?a=L0tkSmR2S1c1YVZTYU9XSGI4RXBxcEJWNlgxTmg0cHlaNE9rbUpFSFlmY0xsNEQzTVpJdkZ5Q1MzU28zUjJ0Mm1IWFVaa2JOMEw2YW9neCs0djNyNW1GVTdNYUh1aHA4RFl1NDZ3UmswWXc9&b=""+abp;document.body.appendChild(imglog);}catch(err){}}</script>
    <meta charset=""utf-8"">
    <style type=""text/css"">
        html, body, #partner, iframe {
            height:100%;
            width:100%;
            margin:0;
            padding:0;
            border:0;
            outline:0;
            font-size:100%;
            vertical-align:baseline;
            background:transparent;
        }
        body {
            overflow:hidden;
        }
    </style>
    <meta content=""NOW"" name=""expires"">
    <meta content=""index, follow, all"" name=""GOOGLEBOT"">
    <meta content=""index, follow, all"" name=""robots"">
    <!-- Following Meta-Tag fixes scaling-issues on mobile devices -->
    <meta content=""width=device-width; initial-scale=1.0; maximum-scale=1.0; user-scalable=0;"" name=""viewport"">
</head>
<body>

<div id=""partner""></div>
<script type=""text/javascript"">
    document.write(
        '<script type=""text/javascript"" language=""JavaScript""'
        + 'src=""//sedoparking.com/frmpark/'
        + window.location.host + '/'
        + 'Skenzor1'
        + '/park.js"">'
        + '<\/script>'
    );
</script>
<script type=""text/javascript"" language=""javascript"">
try{if(typeof handleABPDetect==""function""){handleABPDetect();}}catch(err){}
</script>

</body>
</html>
"
russiajournal.com,14,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 05:21:24 GMT
Server: Apache
Upgrade: h2,h2c
Connection: Upgrade, Keep-Alive
Vary: Accept-Encoding
Cache-Control: no-cache
Keep-Alive: timeout=5, max=75
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

88d
<!DOCTYPE html>
<html data-adblockkey=""MFwwDQYJKoZIhvcNAQEBBQADSwAwSAJBAKX74ixpzVyXbJprcLfbH4psP4+L2entqri0lzh6pkAaXLPIcclv6DQBeJJjGFWrBIF6QMyFwXT5CCRyjS2penECAwEAAQ==_ecXtxbvpqV+0knZy/BbL+LiY4ybUWquErgc176hZ92edCuWnN0mSYPe8KjVoN0vMJTc/v5PK2MQWlbd9G1L3UQ=="">
<head>
<script type=""text/javascript"">var abp;</script><script type=""text/javascript"" src=""http://www.freeresultsguide.com/px.js?ch=1""></script><script type=""text/javascript"" src=""http://www.freeresultsguide.com/px.js?ch=2""></script><script type=""text/javascript"">function handleABPDetect(){try{var imglog = document.createElement(""img"");imglog.style.height=""0px"";imglog.style.width=""0px"";imglog.src=""http://www.freeresultsguide.com/sk-logabpstatus.php?a=UmhCY1BFcDhBbVdET1NlaUxNSVV6L2VxMkwxeGt0eC9KM09tMURmeEhscWFyVzNxY09FNElmQjQ4MEV3R2Y0bk10NCs0MXNwUTBQcFVhd2xGclN1dE52eThLNGV4ZXQ1VUZQb0U5bERHeEk9&b=""+abp;document.body.appendChild(imglog);}catch(err){}}</script>
    <meta charset=""utf-8"">
    <style type=""text/css"">
        html, body, #partner, iframe {
            height:100%;
            width:100%;
            margin:0;
            padding:0;
            border:0;
            outline:0;
            font-size:100%;
            vertical-align:baseline;
            background:transparent;
        }
        body {
            overflow:hidden;
        }
    </style>
    <meta content=""NOW"" name=""expires"">
    <meta content=""index, follow, all"" name=""GOOGLEBOT"">
    <meta content=""index, follow, all"" name=""robots"">
    <!-- Following Meta-Tag fixes scaling-issues on mobile devices -->
    <meta content=""width=device-width; initial-scale=1.0; maximum-scale=1.0; user-scalable=0;"" name=""viewport"">
</head>
<body>

<div id=""partner""></div>
<script type=""text/javascript"">
    document.write(
        '<script type=""text/javascript"" language=""JavaScript""'
        + 'src=""//sedoparking.com/frmpark/'
        + window.location.host + '/'
        + 'Skenzor1'
        + '/park.js"">'
        + '<\/script>'
    );
</script>
<script type=""text/javascript"" language=""javascript"">
try{if(typeof handleABPDetect==""function""){handleABPDetect();}}catch(err){}
</script>

</body>
</html>
"
