URL,TTL,Response_Message
1905.com,0,"traceroute to 1905.com (118.145.26.112), 50 hops max, 60 byte packets
"
1905.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.297 ms  0.280 ms  0.310 ms
"
1905.com,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.600 ms  0.631 ms  0.676 ms
"
1905.com,3," 3  100.64.65.25 (100.64.65.25)  11.166 ms  11.169 ms  11.174 ms
"
1905.com,4," 4  100.64.64.141 (100.64.64.141)  29.933 ms  29.975 ms  29.974 ms
"
1905.com,5," 5  81.173.22.17 (81.173.22.17)  34.546 ms  34.547 ms  34.555 ms
"
1905.com,6," 6  202.97.99.157 (202.97.99.157)  197.162 ms  196.610 ms  196.631 ms
"
1905.com,7," 7  202.97.84.9 (202.97.84.9)  196.449 ms  196.450 ms  196.448 ms
"
1905.com,8," 8  202.97.94.185 (202.97.94.185)  211.764 ms  211.761 ms  211.757 ms
"
1905.com,9," 9  bj141-135-173.bjtelecom.net (219.141.135.173)  198.922 ms * *
"
1905.com,10,"10  * * *
"
1905.com,11,"11  * * *
"
1905.com,12,"12  218.241.244.18 (218.241.244.18)  200.038 ms  199.942 ms  200.098 ms
"
1905.com,13,"13  * * *
"
1905.com,14,"14  124.202.11.126 (124.202.11.126)  262.468 ms  262.484 ms  262.480 ms
"
1905.com,15,"15  * * *
"
1905.com,16,"16  218.241.152.234 (218.241.152.234)  206.398 ms  206.427 ms  206.420 ms
"
1905.com,17,"17  118.145.26.112 (118.145.26.112)  209.519 ms !H  209.518 ms !H  209.518 ms !H
"
