URL,TTL,Response_Message
39.net,0,"traceroute to 39.net (219.238.238.42), 50 hops max, 60 byte packets
"
39.net,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.345 ms  0.334 ms  0.347 ms
"
39.net,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.603 ms  0.603 ms  0.617 ms
"
39.net,3," 3  100.64.65.25 (100.64.65.25)  8.267 ms  8.266 ms  8.299 ms
"
39.net,4," 4  100.64.64.141 (100.64.64.141)  48.960 ms  48.976 ms  48.975 ms
"
39.net,5," 5  81.173.22.17 (81.173.22.17)  33.570 ms  33.585 ms  33.585 ms
"
39.net,6," 6  202.97.99.157 (202.97.99.157)  197.985 ms  197.311 ms  197.346 ms
"
39.net,7," 7  202.97.85.41 (202.97.85.41)  185.185 ms  184.893 ms  184.884 ms
"
39.net,8," 8  202.97.48.241 (202.97.48.241)  198.962 ms  198.856 ms  199.234 ms
"
39.net,9," 9  * * *
"
39.net,10,"10  * * *
"
39.net,11,"11  * * *
"
39.net,12,"12  218.241.244.14 (218.241.244.14)  212.006 ms  211.868 ms  211.898 ms
"
39.net,13,"13  * * *
"
39.net,14,"14  124.202.11.126 (124.202.11.126)  262.547 ms  262.353 ms *
"
39.net,15,"15  * * *
"
39.net,16,"16  219.238.238.42 (219.238.238.42)  206.827 ms  206.807 ms  206.798 ms
"
