URL,TTL,Response_Message
51sole.com,0,"traceroute to 51sole.com (150.109.68.232), 50 hops max, 60 byte packets
"
51sole.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.291 ms  0.281 ms  0.331 ms
"
51sole.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.510 ms  0.505 ms  0.458 ms
"
51sole.com,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  28.696 ms  28.699 ms  28.693 ms
"
51sole.com,4," 4  ffm-b1-link.telia.net (62.115.63.109)  31.077 ms  31.078 ms  31.075 ms
"
51sole.com,5," 5  ffm-bb2-link.telia.net (62.115.137.166)  31.467 ms  31.466 ms  31.544 ms
"
51sole.com,6," 6  mei-b2-link.telia.net (62.115.133.181)  46.131 ms  46.171 ms  46.163 ms
"
51sole.com,7," 7  flagtelecom-ic-324599-mei-b2.c.telia.net (213.248.72.190)  44.176 ms  44.095 ms  44.085 ms
"
51sole.com,8," 8  ae2.0.pjr04.ldn001.flagtel.com (85.95.26.253)  306.436 ms  308.378 ms  308.369 ms
"
51sole.com,9," 9  xe-3-0-6.0.cjr01.sin001.flagtel.com (85.95.26.25)  312.389 ms  312.468 ms  312.482 ms
"
51sole.com,10,"10  ge-3-3-0.0.pjr01.hkg005.flagtel.com (85.95.26.9)  304.329 ms  304.402 ms  304.397 ms
"
51sole.com,11,"11  xe-1-1-0.0.cji02.hkg003.flagtel.com (85.95.27.169)  306.474 ms  306.478 ms  306.480 ms
"
51sole.com,12,"12  80.77.1.94 (80.77.1.94)  244.208 ms  244.293 ms  244.248 ms
"
51sole.com,13,"13  218.189.5.23 (218.189.5.23)  243.289 ms  243.386 ms  243.342 ms
"
51sole.com,14,"14  global.hgc.com.hk (218.189.12.14)  303.565 ms  303.547 ms  303.557 ms
"
51sole.com,15,"15  * * *
"
51sole.com,16,"16  * * *
"
51sole.com,17,"17  * * *
"
51sole.com,18,"18  * * *
"
51sole.com,19,"19  150.109.68.232 (150.109.68.232)  302.330 ms  302.261 ms  302.319 ms
"
