URL,TTL,Response_Message
ameba.jp,0,"traceroute to ameba.jp (27.133.212.123), 50 hops max, 60 byte packets
"
ameba.jp,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.323 ms  0.332 ms  0.378 ms
"
ameba.jp,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.614 ms  0.659 ms  0.658 ms
"
ameba.jp,3," 3  ae1-9.RT.TC2.LON.UK.retn.net (87.245.233.98)  39.998 ms  40.002 ms  40.003 ms
"
ameba.jp,4," 4  ldn001bb10.iij.net (195.66.225.237)  39.717 ms  39.729 ms  39.730 ms
"
ameba.jp,5," 5  tky001bb10.IIJ.Net (58.138.98.137)  200.223 ms  200.263 ms  200.263 ms
"
ameba.jp,6," 6  tky001ip57.IIJ.Net (58.138.100.18)  202.752 ms  202.896 ms  202.891 ms
"
ameba.jp,7," 7  202.232.9.126 (202.232.9.126)  247.935 ms  247.936 ms  247.961 ms
"
ameba.jp,8," 8  * * *
"
ameba.jp,9," 9  * * *
"
ameba.jp,10,"10  27.133.212.123 (27.133.212.123)  258.898 ms  258.959 ms  258.955 ms
"
