URL,TTL,Response_Message
answers.com,0,"traceroute to answers.com (151.101.64.203), 50 hops max, 60 byte packets
"
answers.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.747 ms  0.747 ms  0.778 ms
"
answers.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.708 ms  0.712 ms  0.701 ms
"
answers.com,3," 3  msk-m9-b1-ae16-vlan3877.fiord.net (80.77.167.16)  16.322 ms  16.322 ms  16.291 ms
"
answers.com,4," 4  msk-zoo-b2-ae1-vlan545.fiord.net (62.140.245.49)  16.322 ms  16.315 ms  16.309 ms
"
answers.com,5," 5  mow-b3-link.telia.net (213.248.77.226)  42.805 ms  42.802 ms  42.832 ms
"
answers.com,6," 6  mow-b4-link.telia.net (80.91.246.90)  43.951 ms  43.971 ms  43.921 ms
"
answers.com,7," 7  sap-b4-link.telia.net (62.115.116.7)  41.269 ms  41.359 ms  41.274 ms
"
answers.com,8," 8  hls-b2-link.telia.net (62.115.115.250)  43.949 ms  44.225 ms  44.202 ms
"
answers.com,9," 9  fastly-ic-336129-hls-b2.c.telia.net (213.248.78.185)  42.512 ms  42.497 ms  42.592 ms
"
answers.com,10,"10  151.101.64.203 (151.101.64.203)  42.659 ms  42.699 ms  42.693 ms
"
