URL,TTL,Response_Message
atlassian.net,0,"traceroute to atlassian.net (18.184.99.129), 50 hops max, 60 byte packets
"
atlassian.net,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.367 ms  0.358 ms  0.355 ms
"
atlassian.net,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.640 ms  0.585 ms  0.585 ms
"
atlassian.net,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  26.126 ms  26.138 ms  26.138 ms
"
atlassian.net,4," 4  amazon-fra-peering.fiord.net (62.140.243.53)  28.814 ms  28.815 ms  28.811 ms
"
atlassian.net,5," 5  54.239.106.54 (54.239.106.54)  28.873 ms  29.320 ms  29.815 ms
"
atlassian.net,6," 6  * * *
"
atlassian.net,7," 7  52.93.111.211 (52.93.111.211)  27.207 ms  27.455 ms  27.448 ms
"
atlassian.net,8," 8  54.239.106.29 (54.239.106.29)  30.131 ms  30.235 ms  30.222 ms
"
atlassian.net,9," 9  150.222.104.38 (150.222.104.38)  27.337 ms  27.567 ms  27.558 ms
"
atlassian.net,10,"10  * * *
"
atlassian.net,11,"11  * * *
"
atlassian.net,12,"12  * * *
"
atlassian.net,13,"13  * * *
"
atlassian.net,14,"14  * * *
"
atlassian.net,15,"15  * * *
"
atlassian.net,16,"16  * * *
"
atlassian.net,17,"17  * * *
"
atlassian.net,18,"18  * * *
"
atlassian.net,19,"19  * * *
"
atlassian.net,20,"20  * * *
"
atlassian.net,21,"21  * * *
"
atlassian.net,22,"22  * * *
"
atlassian.net,23,"23  * * *
"
atlassian.net,24,"24  * * *
"
atlassian.net,25,"25  * * *
"
atlassian.net,26,"26  * * *
"
atlassian.net,27,"27  * * *
"
atlassian.net,28,"28  * * *
"
atlassian.net,29,"29  * * *
"
atlassian.net,30,"30  * * *
"
atlassian.net,31,"31  * * *
"
atlassian.net,32,"32  * * *
"
atlassian.net,33,"33  * * *
"
atlassian.net,34,"34  * * *
"
atlassian.net,35,"35  * * *
"
atlassian.net,36,"36  * * *
"
atlassian.net,37,"37  * * *
"
atlassian.net,38,"38  * * *
"
atlassian.net,39,"39  * * *
"
atlassian.net,40,"40  * * *
"
atlassian.net,41,"41  * * *
"
atlassian.net,42,"42  * * *
"
atlassian.net,43,"43  * * *
"
atlassian.net,44,"44  * * *
"
atlassian.net,45,"45  * * *
"
atlassian.net,46,"46  * * *
"
atlassian.net,47,"47  * * *
"
atlassian.net,48,"48  * * *
"
atlassian.net,49,"49  * * *
"
atlassian.net,50,"50  * * *
"
