URL,TTL,Response_Message
box.com,0,"traceroute to box.com (185.235.236.196), 50 hops max, 60 byte packets
"
box.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.330 ms  0.324 ms  0.322 ms
"
box.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.634 ms  0.678 ms  0.631 ms
"
box.com,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  26.124 ms  26.106 ms  26.116 ms
"
box.com,4," 4  ffm-b1-link.telia.net (62.115.63.109)  26.286 ms  26.349 ms  26.349 ms
"
box.com,5," 5  ffm-bb2-link.telia.net (62.115.116.163)  29.411 ms  29.452 ms  29.451 ms
"
box.com,6," 6  ffm-b12-link.telia.net (62.115.142.5)  28.925 ms  29.003 ms  28.987 ms
"
box.com,7," 7  box-ic-339276-ffm-b4.c.telia.net (213.248.100.199)  28.171 ms  28.170 ms  28.163 ms
"
box.com,8," 8  185.235.236.50 (185.235.236.50)  28.046 ms  28.095 ms  28.126 ms
"
box.com,9," 9  185.235.236.9 (185.235.236.9)  28.123 ms  28.125 ms  28.131 ms
"
box.com,10,"10  185.235.236.196 (185.235.236.196)  28.095 ms  28.032 ms  28.026 ms
"
