URL,TTL,Response_Message
brilio.net,0,"traceroute to brilio.net (104.199.248.22), 50 hops max, 60 byte packets
"
brilio.net,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.316 ms  0.304 ms  0.311 ms
"
brilio.net,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.584 ms  0.579 ms  0.571 ms
"
brilio.net,3," 3  100.64.64.58 (100.64.64.58)  0.669 ms  0.663 ms  0.660 ms
"
brilio.net,4," 4  google-gw1.kv.wnet.ua (128.0.168.137)  0.656 ms  0.679 ms  0.725 ms
"
brilio.net,5," 5  108.170.248.147 (108.170.248.147)  3.733 ms  3.770 ms  3.810 ms
"
brilio.net,6," 6  209.85.248.105 (209.85.248.105)  15.853 ms  15.737 ms  15.768 ms
"
brilio.net,7," 7  209.85.241.99 (209.85.241.99)  29.533 ms  42.556 ms  42.569 ms
"
brilio.net,8," 8  108.170.234.10 (108.170.234.10)  35.676 ms  35.781 ms  35.780 ms
"
brilio.net,9," 9  108.170.234.119 (108.170.234.119)  41.178 ms  41.443 ms  41.169 ms
"
brilio.net,10,"10  172.253.65.174 (172.253.65.174)  110.403 ms  110.411 ms  110.409 ms
"
brilio.net,11,"11  216.239.57.136 (216.239.57.136)  127.244 ms  127.250 ms  127.249 ms
"
brilio.net,12,"12  209.85.143.103 (209.85.143.103)  133.367 ms  133.375 ms  135.805 ms
"
brilio.net,13,"13  72.14.233.237 (72.14.233.237)  221.447 ms  221.476 ms  221.476 ms
"
brilio.net,14,"14  108.170.235.217 (108.170.235.217)  256.430 ms  256.526 ms  256.581 ms
"
brilio.net,15,"15  216.239.49.195 (216.239.49.195)  290.059 ms  290.047 ms  290.047 ms
"
brilio.net,16,"16  74.125.252.142 (74.125.252.142)  286.617 ms  286.636 ms  286.686 ms
"
brilio.net,17,"17  209.85.247.199 (209.85.247.199)  287.202 ms  287.252 ms  287.415 ms
"
brilio.net,18,"18  * * *
"
brilio.net,19,"19  * * *
"
brilio.net,20,"20  * * *
"
brilio.net,21,"21  * * *
"
brilio.net,22,"22  * * *
"
brilio.net,23,"23  * * *
"
brilio.net,24,"24  * * *
"
brilio.net,25,"25  * * *
"
brilio.net,26,"26  * * *
"
brilio.net,27,"27  22.248.199.104.bc.googleusercontent.com (104.199.248.22)  286.581 ms  286.603 ms  286.606 ms
"
