URL,TTL,Response_Message
espn.go.com,0,"traceroute to espn.go.com (52.222.155.126), 50 hops max, 60 byte packets
"
espn.go.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.338 ms  0.331 ms  0.355 ms
"
espn.go.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.904 ms  0.932 ms  1.027 ms
"
espn.go.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.051 ms  17.061 ms  17.113 ms
"
espn.go.com,4," 4  be3463.ccr52.vie01.atlas.cogentco.com (154.54.59.185)  18.185 ms  18.241 ms  18.242 ms
"
espn.go.com,5," 5  be3462.ccr22.muc03.atlas.cogentco.com (154.54.59.182)  24.596 ms  24.609 ms  24.658 ms
"
espn.go.com,6," 6  be2960.ccr42.fra03.atlas.cogentco.com (154.54.36.253)  29.787 ms  30.125 ms  30.151 ms
"
espn.go.com,7," 7  amazon.demarc.cogentco.com (149.14.159.194)  29.579 ms  30.367 ms  30.311 ms
"
espn.go.com,8," 8  52.93.111.12 (52.93.111.12)  28.937 ms  28.885 ms  29.106 ms
"
espn.go.com,9," 9  54.239.107.149 (54.239.107.149)  27.950 ms  28.036 ms  27.982 ms
"
espn.go.com,10,"10  54.239.5.231 (54.239.5.231)  28.485 ms  28.478 ms  28.462 ms
"
espn.go.com,11,"11  * * *
"
espn.go.com,12,"12  * * *
"
espn.go.com,13,"13  * * *
"
espn.go.com,14,"14  server-52-222-155-126.fra53.r.cloudfront.net (52.222.155.126)  56.907 ms  56.920 ms  56.918 ms
"
