URL,TTL,Response_Message
gizmodo.com,0,"traceroute to gizmodo.com (151.101.2.166), 50 hops max, 60 byte packets
"
gizmodo.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.305 ms  0.295 ms  0.322 ms
"
gizmodo.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.495 ms  0.494 ms  0.487 ms
"
gizmodo.com,3," 3  msk-m9-b1-ae16-vlan3877.fiord.net (80.77.167.16)  17.359 ms  17.400 ms  17.402 ms
"
gizmodo.com,4," 4  msk-zoo-b2-ae1-vlan545.fiord.net (62.140.245.49)  16.239 ms  16.171 ms  16.228 ms
"
gizmodo.com,5," 5  mow-b3-link.telia.net (213.248.77.226)  42.842 ms  42.857 ms  54.944 ms
"
gizmodo.com,6," 6  mow-b4-link.telia.net (80.91.246.90)  44.005 ms  43.925 ms  43.988 ms
"
gizmodo.com,7," 7  sap-b4-link.telia.net (62.115.116.7)  41.864 ms  41.860 ms  41.920 ms
"
gizmodo.com,8," 8  hls-b2-link.telia.net (62.115.115.250)  44.060 ms  43.995 ms  43.972 ms
"
gizmodo.com,9," 9  fastly-ic-336130-hls-b2.c.telia.net (213.248.78.187)  42.789 ms  42.823 ms  42.831 ms
"
gizmodo.com,10,"10  151.101.2.166 (151.101.2.166)  42.787 ms  42.671 ms  42.660 ms
"
