URL,TTL,Response_Message
impress.co.jp,0,"traceroute to impress.co.jp (203.183.234.2), 50 hops max, 60 byte packets
"
impress.co.jp,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.345 ms  0.335 ms  0.369 ms
"
impress.co.jp,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.530 ms  0.477 ms  0.525 ms
"
impress.co.jp,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  28.620 ms  28.607 ms  28.648 ms
"
impress.co.jp,4," 4  xe3-3-6.franco71.fra.seabone.net (89.221.34.254)  31.288 ms  31.290 ms  31.289 ms
"
impress.co.jp,5," 5  ae17.franco32.fra.seabone.net (195.22.211.205)  31.458 ms  31.517 ms  31.510 ms
"
impress.co.jp,6," 6  ae-9.r00.frnkge13.de.bb.gin.ntt.net (129.250.66.17)  31.102 ms  31.098 ms  31.153 ms
"
impress.co.jp,7," 7  ae-1.r25.frnkge08.de.bb.gin.ntt.net (129.250.4.16)  31.064 ms  31.223 ms  31.073 ms
"
impress.co.jp,8," 8  ae-8.r22.asbnva02.us.bb.gin.ntt.net (129.250.4.96)  119.167 ms  119.594 ms  119.395 ms
"
impress.co.jp,9," 9  ae-5.r23.lsanca07.us.bb.gin.ntt.net (129.250.3.189)  183.021 ms  183.090 ms  183.196 ms
"
impress.co.jp,10,"10  ae-12.r31.tokyjp05.jp.bb.gin.ntt.net (129.250.3.192)  291.428 ms  291.377 ms  291.274 ms
"
impress.co.jp,11,"11  ae-3.r03.tokyjp05.jp.bb.gin.ntt.net (129.250.3.56)  286.576 ms  286.644 ms  286.699 ms
"
impress.co.jp,12,"12  ae-1.a01.tokyjp05.jp.bb.gin.ntt.net (129.250.6.82)  290.993 ms  290.922 ms  290.900 ms
"
impress.co.jp,13,"13  xe-0-0-17-1.a01.tokyjp05.jp.ce.gin.ntt.net (61.213.161.6)  246.210 ms  246.205 ms  246.137 ms
"
impress.co.jp,14,"14  158.205.192.141 (158.205.192.141)  242.849 ms  242.882 ms  242.911 ms
"
impress.co.jp,15,"15  158.205.192.233 (158.205.192.233)  243.335 ms  252.537 ms  252.496 ms
"
impress.co.jp,16,"16  * * *
"
impress.co.jp,17,"17  * * *
"
impress.co.jp,18,"18  www.impress.co.jp (203.183.234.2)  243.203 ms  243.214 ms  243.272 ms
"
