URL,TTL,Response_Message
mbc.net,0,"traceroute to mbc.net (50.19.210.76), 50 hops max, 60 byte packets
"
mbc.net,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.335 ms  0.353 ms  0.395 ms
"
mbc.net,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.909 ms  0.951 ms  1.019 ms
"
mbc.net,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.186 ms  17.193 ms  17.269 ms
"
mbc.net,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.653 ms  22.688 ms  22.686 ms
"
mbc.net,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.447 ms  30.518 ms  30.731 ms
"
mbc.net,6," 6  be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.384 ms  39.368 ms  39.372 ms
"
mbc.net,7," 7  be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  117.792 ms  116.691 ms  116.651 ms
"
mbc.net,8," 8  be2317.ccr41.jfk02.atlas.cogentco.com (154.54.30.185)  115.117 ms  115.165 ms  115.236 ms
"
mbc.net,9," 9  be3495.ccr31.jfk10.atlas.cogentco.com (66.28.4.182)  115.237 ms  115.258 ms  115.304 ms
"
mbc.net,10,"10  38.140.107.42 (38.140.107.42)  115.346 ms  115.344 ms  115.342 ms
"
mbc.net,11,"11  52.93.31.49 (52.93.31.49)  112.475 ms  115.168 ms  115.155 ms
"
mbc.net,12,"12  52.93.4.0 (52.93.4.0)  110.945 ms  110.886 ms  110.931 ms
"
mbc.net,13,"13  * * *
"
mbc.net,14,"14  52.93.131.182 (52.93.131.182)  116.129 ms  116.123 ms  116.193 ms
"
mbc.net,15,"15  * * *
"
mbc.net,16,"16  * * *
"
mbc.net,17,"17  * * *
"
mbc.net,18,"18  * * *
"
mbc.net,19,"19  * * *
"
mbc.net,20,"20  * * *
"
mbc.net,21,"21  * * *
"
mbc.net,22,"22  * * *
"
mbc.net,23,"23  * * *
"
mbc.net,24,"24  * * *
"
mbc.net,25,"25  52.93.28.238 (52.93.28.238)  116.058 ms  116.044 ms  116.066 ms
"
mbc.net,26,"26  * * *
"
mbc.net,27,"27  * * *
"
mbc.net,28,"28  * * *
"
mbc.net,29,"29  * * *
"
mbc.net,30,"30  * * *
"
mbc.net,31,"31  * * *
"
mbc.net,32,"32  * * *
"
mbc.net,33,"33  * * *
"
mbc.net,34,"34  * * *
"
mbc.net,35,"35  * * *
"
mbc.net,36,"36  * * *
"
mbc.net,37,"37  * * *
"
mbc.net,38,"38  * * *
"
mbc.net,39,"39  * * *
"
mbc.net,40,"40  * * *
"
mbc.net,41,"41  * * *
"
mbc.net,42,"42  * * *
"
mbc.net,43,"43  * * *
"
mbc.net,44,"44  * * *
"
mbc.net,45,"45  * * *
"
mbc.net,46,"46  * * *
"
mbc.net,47,"47  * * *
"
mbc.net,48,"48  * * *
"
mbc.net,49,"49  * * *
"
mbc.net,50,"50  * * *
"
