URL,TTL,Response_Message
naver.jp,0,"traceroute to naver.jp (119.235.235.13), 50 hops max, 60 byte packets
"
naver.jp,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.414 ms  0.406 ms  0.452 ms
"
naver.jp,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.937 ms  1.004 ms  1.050 ms
"
naver.jp,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  16.978 ms  17.023 ms  17.093 ms
"
naver.jp,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.696 ms  22.707 ms  22.748 ms
"
naver.jp,5," 5  be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.770 ms  30.831 ms  30.874 ms
"
naver.jp,6," 6  be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.631 ms  39.718 ms  39.746 ms
"
naver.jp,7," 7  be2249.ccr41.ams03.atlas.cogentco.com (154.54.36.213)  190.693 ms  190.804 ms  190.774 ms
"
naver.jp,8," 8  be2182.ccr21.lpl01.atlas.cogentco.com (154.54.77.246)  190.471 ms  190.627 ms  190.665 ms
"
naver.jp,9," 9  be3042.ccr21.ymq01.atlas.cogentco.com (154.54.44.162)  189.846 ms  190.006 ms  190.049 ms
"
naver.jp,10,"10  be3259.ccr31.yyz02.atlas.cogentco.com (154.54.41.205)  190.857 ms  190.481 ms  190.882 ms
"
naver.jp,11,"11  be2993.ccr21.cle04.atlas.cogentco.com (154.54.31.225)  190.457 ms  190.831 ms  190.791 ms
"
naver.jp,12,"12  be2717.ccr41.ord01.atlas.cogentco.com (154.54.6.221)  190.121 ms  190.322 ms  190.083 ms
"
naver.jp,13,"13  be2831.ccr21.mci01.atlas.cogentco.com (154.54.42.165)  189.878 ms  190.011 ms  190.118 ms
"
naver.jp,14,"14  be3035.ccr21.den01.atlas.cogentco.com (154.54.5.89)  190.620 ms  190.713 ms  190.825 ms
"
naver.jp,15,"15  be3037.ccr21.slc01.atlas.cogentco.com (154.54.41.145)  189.885 ms  189.880 ms  189.909 ms
"
naver.jp,16,"16  be3109.ccr21.sfo01.atlas.cogentco.com (154.54.44.137)  190.188 ms  190.315 ms  190.473 ms
"
naver.jp,17,"17  be3669.ccr41.sjc03.atlas.cogentco.com (154.54.43.10)  190.036 ms  190.137 ms  190.260 ms
"
naver.jp,18,"18  38.88.224.178 (38.88.224.178)  183.178 ms  183.121 ms  183.132 ms
"
naver.jp,19,"19  111.87.3.225 (111.87.3.225)  179.841 ms  179.612 ms  179.517 ms
"
naver.jp,20,"20  106.187.13.25 (106.187.13.25)  279.897 ms  279.875 ms  279.893 ms
"
naver.jp,21,"21  27.85.227.234 (27.85.227.234)  278.908 ms  278.902 ms  278.891 ms
"
naver.jp,22,"22  cm-kot210.int-gw.kddi.ne.jp (125.29.22.170)  281.880 ms  281.886 ms  281.886 ms
"
naver.jp,23,"23  125.29.31.142 (125.29.31.142)  293.382 ms  293.442 ms  293.331 ms
"
naver.jp,24,"24  * * *
"
naver.jp,25,"25  * * *
"
naver.jp,26,"26  * * *
"
naver.jp,27,"27  * * *
"
naver.jp,28,"28  * * *
"
naver.jp,29,"29  * * *
"
naver.jp,30,"30  * * *
"
naver.jp,31,"31  * * *
"
naver.jp,32,"32  * * *
"
naver.jp,33,"33  * * *
"
naver.jp,34,"34  * * *
"
naver.jp,35,"35  * * *
"
naver.jp,36,"36  * * *
"
naver.jp,37,"37  * * *
"
naver.jp,38,"38  * * *
"
naver.jp,39,"39  * * *
"
naver.jp,40,"40  * * *
"
naver.jp,41,"41  * * *
"
naver.jp,42,"42  * * *
"
naver.jp,43,"43  * * *
"
naver.jp,44,"44  * * *
"
naver.jp,45,"45  * * *
"
naver.jp,46,"46  * * *
"
naver.jp,47,"47  * * *
"
naver.jp,48,"48  * * *
"
naver.jp,49,"49  * * *
"
naver.jp,50,"50  * * *
"
