URL,TTL,Response_Message
nike.com,0,"traceroute to nike.com (146.197.184.71), 50 hops max, 60 byte packets
"
nike.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  1.517 ms  1.506 ms  1.532 ms
"
nike.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.518 ms  0.551 ms  0.551 ms
"
nike.com,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  28.614 ms  28.625 ms  28.645 ms
"
nike.com,4," 4  * * *
"
nike.com,5," 5  ae8.mpr1.fra3.de.zip.zayo.com (64.125.26.233)  31.122 ms  31.207 ms  31.125 ms
"
nike.com,6," 6  ae27.cs1.fra6.de.eth.zayo.com (64.125.31.216)  118.322 ms  118.377 ms  118.355 ms
"
nike.com,7," 7  ae2.cs1.ams17.nl.eth.zayo.com (64.125.29.59)  120.747 ms  120.735 ms  120.735 ms
"
nike.com,8," 8  ae0.cs1.ams10.nl.eth.zayo.com (64.125.29.80)  117.617 ms  117.583 ms  117.579 ms
"
nike.com,9," 9  ae2.cs1.lhr15.uk.eth.zayo.com (64.125.29.17)  118.329 ms  118.322 ms  118.334 ms
"
nike.com,10,"10  * * *
"
nike.com,11,"11  ae5.cs3.lga5.us.eth.zayo.com (64.125.29.126)  117.713 ms  117.618 ms  117.630 ms
"
nike.com,12,"12  ae4.cs1.dca2.us.eth.zayo.com (64.125.29.203)  117.576 ms  117.668 ms  117.583 ms
"
nike.com,13,"13  ae27.cr1.dca2.us.zip.zayo.com (64.125.30.247)  117.325 ms  117.198 ms  117.151 ms
"
nike.com,14,"14  ae14.er5.iad10.us.zip.zayo.com (64.125.28.61)  117.536 ms  117.505 ms  117.523 ms
"
nike.com,15,"15  209.66.120.102.IPYX-076520-960-ZYO.zip.zayo.com (209.66.120.102)  118.783 ms  118.818 ms  118.778 ms
"
nike.com,16,"16  * * *
"
nike.com,17,"17  69.20.1.193 (69.20.1.193)  113.429 ms  113.446 ms  113.540 ms
"
nike.com,18,"18  146.197.184.71 (146.197.184.71)  118.830 ms  118.893 ms  118.870 ms
"
