URL,TTL,Response_Message
olx.pl,0,"traceroute to olx.pl (52.222.155.25), 50 hops max, 60 byte packets
"
olx.pl,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.326 ms  0.354 ms  0.398 ms
"
olx.pl,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.911 ms  1.044 ms  1.205 ms
"
olx.pl,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  43.106 ms  43.109 ms  43.109 ms
"
olx.pl,4," 4  be3463.ccr52.vie01.atlas.cogentco.com (154.54.59.185)  43.108 ms  43.108 ms  43.104 ms
"
olx.pl,5," 5  be3462.ccr22.muc03.atlas.cogentco.com (154.54.59.182)  43.112 ms  43.109 ms  43.108 ms
"
olx.pl,6," 6  be2960.ccr42.fra03.atlas.cogentco.com (154.54.36.253)  43.111 ms  42.520 ms  42.473 ms
"
olx.pl,7," 7  amazon.demarc.cogentco.com (149.14.159.194)  42.466 ms  29.575 ms  50.736 ms
"
olx.pl,8," 8  52.93.111.8 (52.93.111.8)  30.680 ms  30.672 ms  31.422 ms
"
olx.pl,9," 9  54.239.107.105 (54.239.107.105)  29.976 ms  29.990 ms  30.063 ms
"
olx.pl,10,"10  54.239.5.231 (54.239.5.231)  28.576 ms  28.587 ms  28.588 ms
"
olx.pl,11,"11  * * *
"
olx.pl,12,"12  * * *
"
olx.pl,13,"13  * * *
"
olx.pl,14,"14  server-52-222-155-25.fra53.r.cloudfront.net (52.222.155.25)  28.309 ms  28.338 ms  28.342 ms
"
