URL,TTL,Response_Message
rdsa2013.com,0,"traceroute to rdsa2013.com (173.192.101.27), 50 hops max, 60 byte packets
"
rdsa2013.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.345 ms  0.334 ms  0.387 ms
"
rdsa2013.com,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.711 ms  0.711 ms  0.709 ms
"
rdsa2013.com,3," 3  ae3-4.RT.EQX.FKT.DE.retn.net (87.245.232.233)  39.373 ms  39.380 ms  39.403 ms
"
rdsa2013.com,4," 4  bbr01.xn01.fra01.networklayer.com (80.81.194.167)  30.130 ms  30.140 ms  30.163 ms
"
rdsa2013.com,5," 5  ae5.cbs01.xn01.fra01.networklayer.com (169.45.18.166)  36.465 ms * *
"
rdsa2013.com,6," 6  * * *
"
rdsa2013.com,7," 7  ae1.cbs02.tl01.nyc01.networklayer.com (169.45.19.46)  109.091 ms * *
"
rdsa2013.com,8," 8  ae0.cbs01.eq01.chi01.networklayer.com (50.97.17.48)  129.399 ms  129.750 ms *
"
rdsa2013.com,9," 9  ae2.cbs02.dr01.dal04.networklayer.com (169.45.18.4)  150.969 ms *  150.920 ms
"
rdsa2013.com,10,"10  ae8.cbs02.eq01.dal03.networklayer.com (169.45.18.72)  150.203 ms * *
"
rdsa2013.com,11,"11  ae34.bbr01.eq01.dal03.networklayer.com (50.97.17.57)  148.113 ms  148.299 ms  147.860 ms
"
rdsa2013.com,12,"12  ae6.dar02.dal05.networklayer.com (50.97.18.193)  149.115 ms  149.120 ms  149.045 ms
"
rdsa2013.com,13,"13  po2.fcr01.sr01.dal05.networklayer.com (173.192.118.133)  150.026 ms  148.473 ms  148.570 ms
"
rdsa2013.com,14,"14  1b.65.c0ad.ip4.static.sl-reverse.com (173.192.101.27)  147.916 ms  147.925 ms  147.939 ms
"
