URL,TTL,Response_Message
realtor.com,0,"traceroute to realtor.com (206.131.180.21), 50 hops max, 60 byte packets
"
realtor.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.333 ms  0.326 ms  0.336 ms
"
realtor.com,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.626 ms  0.666 ms  0.665 ms
"
realtor.com,3," 3  ae8-10.RT.IRX.FKT.DE.retn.net (87.245.232.139)  30.938 ms  30.986 ms  30.987 ms
"
realtor.com,4," 4  * * *
"
realtor.com,5," 5  ae-2-3212.msr1.Frankfurt1.Level3.net (4.69.163.126)  112.071 ms  112.375 ms  112.659 ms
"
realtor.com,6," 6  * * *
"
realtor.com,7," 7  * * *
"
realtor.com,8," 8  * * *
"
realtor.com,9," 9  * * *
"
realtor.com,10,"10  * * *
"
realtor.com,11,"11  * * *
"
realtor.com,12,"12  realtorquotes.com (206.131.180.21)  175.159 ms  175.215 ms  175.215 ms
"
