URL,TTL,Response_Message
shiltirs.com,0,"traceroute to shiltirs.com (78.140.190.92), 50 hops max, 60 byte packets
"
shiltirs.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  1.917 ms  1.948 ms  1.947 ms
"
shiltirs.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.890 ms  1.035 ms  1.127 ms
"
shiltirs.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.092 ms  17.144 ms  17.144 ms
"
shiltirs.com,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.306 ms  22.308 ms  22.377 ms
"
shiltirs.com,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.826 ms  30.992 ms  31.077 ms
"
shiltirs.com,6," 6  be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.665 ms  39.819 ms  39.676 ms
"
shiltirs.com,7," 7  be3433.rcr21.ams06.atlas.cogentco.com (154.54.58.202)  40.083 ms  40.102 ms  40.108 ms
"
shiltirs.com,8," 8  149.6.0.74 (149.6.0.74)  39.614 ms  40.064 ms  39.662 ms
"
shiltirs.com,9," 9  xcore-ams1-wz-r1.webzilla.com (78.140.169.3)  37.281 ms  37.272 ms  37.284 ms
"
shiltirs.com,10,"10  78.140.190.92 (78.140.190.92)  36.975 ms  36.982 ms  37.004 ms
"
