URL,TTL,Response_Message
udn.com,0,"traceroute to udn.com (104.103.77.83), 50 hops max, 60 byte packets
"
udn.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.292 ms  0.285 ms  0.334 ms
"
udn.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.791 ms  1.320 ms  1.363 ms
"
udn.com,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  26.121 ms  26.153 ms  26.105 ms
"
udn.com,4," 4  ffm-b1-link.telia.net (62.115.63.109)  26.433 ms  26.301 ms  26.363 ms
"
udn.com,5," 5  ffm-bb2-link.telia.net (62.115.116.165)  29.324 ms  29.307 ms  29.366 ms
"
udn.com,6," 6  win-bb2-link.telia.net (62.115.133.78)  38.721 ms  38.876 ms  38.861 ms
"
udn.com,7," 7  win-b4-link.telia.net (62.115.112.199)  41.616 ms  41.651 ms  41.619 ms
"
udn.com,8," 8  akamai-ic-317493-win-b4.c.telia.net (62.115.147.101)  29.001 ms  29.073 ms  29.064 ms
"
udn.com,9," 9  a104-103-77-83.deploy.static.akamaitechnologies.com (104.103.77.83)  29.353 ms  29.350 ms  29.345 ms
"
