URL,TTL,Response_Message
voc.com.cn,0,"traceroute to voc.com.cn (124.232.151.199), 50 hops max, 60 byte packets
"
voc.com.cn,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.436 ms  0.439 ms  0.458 ms
"
voc.com.cn,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.587 ms  0.586 ms  0.627 ms
"
voc.com.cn,3," 3  100.64.65.25 (100.64.65.25)  7.772 ms  7.772 ms  7.768 ms
"
voc.com.cn,4," 4  100.64.64.141 (100.64.64.141)  29.925 ms  29.961 ms  29.969 ms
"
voc.com.cn,5," 5  81.173.22.17 (81.173.22.17)  31.865 ms  31.912 ms  31.911 ms
"
voc.com.cn,6," 6  202.97.67.237 (202.97.67.237)  230.496 ms  230.726 ms  230.717 ms
"
voc.com.cn,7," 7  202.97.94.113 (202.97.94.113)  235.077 ms  235.067 ms  235.078 ms
"
voc.com.cn,8," 8  202.97.94.141 (202.97.94.141)  241.247 ms  243.139 ms  243.133 ms
"
voc.com.cn,9," 9  202.97.77.122 (202.97.77.122)  264.870 ms  264.909 ms  264.972 ms
"
voc.com.cn,10,"10  61.137.8.34 (61.137.8.34)  259.097 ms  261.954 ms  261.926 ms
"
voc.com.cn,11,"11  124.232.134.1 (124.232.134.1)  249.555 ms  249.581 ms  249.980 ms
"
voc.com.cn,12,"12  * * *
"
voc.com.cn,13,"13  124.232.151.199 (124.232.151.199)  263.782 ms *  257.103 ms
"
