URL,TTL,Response_Message
xcar.com.cn,0,"traceroute to xcar.com.cn (192.144.194.149), 50 hops max, 60 byte packets
"
xcar.com.cn,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.316 ms  0.307 ms  0.306 ms
"
xcar.com.cn,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.604 ms  0.605 ms  0.596 ms
"
xcar.com.cn,3," 3  100.64.65.25 (100.64.65.25)  7.798 ms  7.834 ms  7.834 ms
"
xcar.com.cn,4," 4  100.64.64.141 (100.64.64.141)  29.915 ms  29.920 ms  29.918 ms
"
xcar.com.cn,5," 5  81.173.22.17 (81.173.22.17)  32.925 ms  32.950 ms  32.994 ms
"
xcar.com.cn,6," 6  202.97.58.77 (202.97.58.77)  172.932 ms  172.270 ms  172.258 ms
"
xcar.com.cn,7," 7  202.97.12.53 (202.97.12.53)  229.786 ms  229.891 ms  229.885 ms
"
xcar.com.cn,8," 8  202.97.34.77 (202.97.34.77)  192.908 ms * *
"
xcar.com.cn,9," 9  * * *
"
xcar.com.cn,10,"10  * * *
"
xcar.com.cn,11,"11  36.110.203.230 (36.110.203.230)  192.441 ms * *
"
xcar.com.cn,12,"12  * * *
"
xcar.com.cn,13,"13  192.144.194.149 (192.144.194.149)  191.621 ms  191.609 ms  191.740 ms
"
