URL,TTL,Response_Message
rdsa2013.com,0,"traceroute to rdsa2013.com (173.192.101.27), 30 hops max, 60 byte packets
"
rdsa2013.com,1," 1  rit-core1-010-vlan4073.rit.edu (129.21.63.252)  16.480 ms  16.433 ms  16.427 ms
"
rdsa2013.com,2," 2  rit-rit1-100g-pp-rtr001-vlan856.rit.edu (129.21.8.126)  15.389 ms  15.412 ms  15.403 ms
"
rdsa2013.com,3," 3  de-cix.nyc.us.ibm.com (206.82.104.149)  39.210 ms  39.223 ms  39.220 ms
"
rdsa2013.com,4," 4  * * *
"
rdsa2013.com,5," 5  ae0.cbs01.eq01.chi01.networklayer.com (50.97.17.48)  34.628 ms * *
"
rdsa2013.com,6," 6  ae2.cbs02.dr01.dal04.networklayer.com (169.45.18.4)  53.698 ms  58.863 ms *
"
rdsa2013.com,7," 7  * ae8.cbs02.eq01.dal03.networklayer.com (169.45.18.72)  53.841 ms *
"
rdsa2013.com,8," 8  ae34.bbr01.eq01.dal03.networklayer.com (50.97.17.57)  52.134 ms * *
"
rdsa2013.com,9," 9  * * ae6.dar02.dal05.networklayer.com (50.97.18.193)  168.011 ms
"
rdsa2013.com,10,"10  po2.fcr01.sr01.dal05.networklayer.com (173.192.118.133)  121.378 ms  119.357 ms  115.099 ms
"
rdsa2013.com,11,"11  1b.65.c0ad.ip4.static.sl-reverse.com (173.192.101.27)  54.040 ms * *
"
