URL,TTL,Response_Message
ebay.in,0,"traceroute to ebay.in (66.135.195.175), 30 hops max, 60 byte packets
"
ebay.in,1," 1  192.168.42.129 (192.168.42.129)  2.067 ms  2.087 ms  2.186 ms
"
ebay.in,2," 2  rit-core1-hsrp-010-vlan4078.rit.edu (129.21.71.252)  48.444 ms  48.641 ms  48.596 ms
"
ebay.in,3," 3  rit-rit1-100g-pp-rtr001-vlan856.rit.edu (129.21.8.126)  47.357 ms  47.403 ms  47.472 ms
"
ebay.in,4," 4  de-cix.nyc.ebay.com (206.82.104.115)  53.485 ms  53.453 ms  53.640 ms
"
ebay.in,5," 5  xe-0-1-1-nix1-bcr1.bb.ebay.com (216.113.190.50)  109.882 ms xe-2-2-1-slc1-bcr2.bb.ebay.com (216.113.190.159)  125.956 ms xe-0-1-1-nix1-bcr1.bb.ebay.com (216.113.190.50)  110.014 ms
"
ebay.in,6," 6  8.42.120.28 (8.42.120.28)  114.767 ms 8.42.120.26 (8.42.120.26)  120.754 ms 8.42.120.30 (8.42.120.30)  120.896 ms
"
ebay.in,7," 7  * * *
"
ebay.in,8," 8  * * *
"
ebay.in,9," 9  * * *
"
ebay.in,10,"10  * * *
"
ebay.in,11,"11  ru.ebay.com (66.135.195.175)  68.894 ms  71.023 ms  77.996 ms
"
