URL,TTL,Response_Message
1905.com,0,"traceroute to 1905.com (118.145.26.112), 50 hops max, 60 byte packets
"
1905.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.409 ms  0.397 ms  0.379 ms
"
1905.com,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  1.270 ms  0.606 ms  0.689 ms
"
1905.com,3," 3  100.64.65.25 (100.64.65.25)  8.319 ms  7.774 ms  8.303 ms
"
1905.com,4," 4  100.64.64.141 (100.64.64.141)  30.375 ms  30.318 ms  29.914 ms
"
1905.com,5," 5  81.173.22.17 (81.173.22.17)  33.702 ms  33.689 ms  33.660 ms
"
1905.com,6," 6  202.97.99.157 (202.97.99.157)  201.545 ms  200.893 ms  200.877 ms
"
1905.com,7," 7  202.97.84.9 (202.97.84.9)  200.865 ms  200.838 ms  200.827 ms
"
1905.com,8," 8  202.97.94.185 (202.97.94.185)  233.514 ms  227.215 ms  226.166 ms
"
1905.com,9," 9  * * *
"
1905.com,10,"10  * * *
"
1905.com,11,"11  * * *
"
1905.com,12,"12  218.241.244.2 (218.241.244.2)  211.113 ms 218.241.244.22 (218.241.244.22)  209.913 ms 218.241.244.2 (218.241.244.2)  211.533 ms
"
1905.com,13,"13  * * *
"
1905.com,14,"14  124.202.11.126 (124.202.11.126)  262.738 ms  262.438 ms  262.986 ms
"
1905.com,15,"15  * * *
"
1905.com,16,"16  218.241.152.234 (218.241.152.234)  206.208 ms  205.828 ms  207.002 ms
"
1905.com,17,"17  118.145.26.112 (118.145.26.112)  206.235 ms  210.430 ms  208.874 ms
"
