URL,TTL,Response_Message
39.net,0,"traceroute to 39.net (219.238.238.42), 30 hops max, 60 byte packets
"
39.net,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.296 ms  0.285 ms  0.302 ms
"
39.net,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.599 ms  0.585 ms  0.577 ms
"
39.net,3," 3  100.64.65.25 (100.64.65.25)  7.798 ms  7.801 ms  8.240 ms
"
39.net,4," 4  100.64.64.141 (100.64.64.141)  29.978 ms  30.417 ms  29.981 ms
"
39.net,5," 5  81.173.22.17 (81.173.22.17)  31.989 ms  31.983 ms  31.974 ms
"
39.net,6," 6  202.97.99.157 (202.97.99.157)  196.990 ms  196.579 ms  196.573 ms
"
39.net,7," 7  202.97.85.41 (202.97.85.41)  184.274 ms  184.050 ms  184.038 ms
"
39.net,8," 8  * * *
"
39.net,9," 9  * * *
"
39.net,10,"10  * * *
"
39.net,11,"11  * * *
"
39.net,12,"12  218.241.244.22 (218.241.244.22)  195.317 ms 218.241.244.2 (218.241.244.2)  199.267 ms 218.241.244.22 (218.241.244.22)  197.902 ms
"
39.net,13,"13  * * *
"
39.net,14,"14  124.202.11.126 (124.202.11.126)  247.890 ms  248.212 ms  248.341 ms
"
39.net,15,"15  * * *
"
39.net,16,"16  219.238.238.42 (219.238.238.42)  192.534 ms  193.270 ms  192.705 ms
"
