URL,TTL,Response_Message
1905.com,0,"traceroute to 1905.com (118.145.26.112), 30 hops max, 60 byte packets
"
1905.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.263 ms  0.293 ms  0.350 ms
"
1905.com,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.556 ms  0.547 ms  10.796 ms
"
1905.com,3," 3  100.64.65.25 (100.64.65.25)  8.326 ms  8.320 ms  11.800 ms
"
1905.com,4," 4  100.64.64.141 (100.64.64.141)  29.955 ms  30.402 ms  30.403 ms
"
1905.com,5," 5  81.173.22.17 (81.173.22.17)  31.083 ms  34.978 ms  31.075 ms
"
1905.com,6," 6  202.97.99.157 (202.97.99.157)  192.508 ms  193.289 ms  193.327 ms
"
1905.com,7," 7  202.97.84.9 (202.97.84.9)  196.650 ms  196.641 ms  196.626 ms
"
1905.com,8," 8  202.97.94.185 (202.97.94.185)  197.652 ms  197.633 ms  197.604 ms
"
1905.com,9," 9  * * *
"
1905.com,10,"10  * * *
"
1905.com,11,"11  * * *
"
1905.com,12,"12  218.241.244.6 (218.241.244.6)  195.555 ms 218.241.244.22 (218.241.244.22)  195.446 ms 218.241.244.14 (218.241.244.14)  198.075 ms
"
1905.com,13,"13  * 218.241.255.250 (218.241.255.250)  182.496 ms *
"
1905.com,14,"14  124.202.11.126 (124.202.11.126)  248.210 ms  248.806 ms  248.751 ms
"
1905.com,15,"15  * * *
"
1905.com,16,"16  218.241.152.234 (218.241.152.234)  191.427 ms  192.689 ms  191.396 ms
"
1905.com,17,"17  118.145.26.112 (118.145.26.112)  195.487 ms  195.699 ms  194.631 ms
"
