URL,TTL,Response_Message
39.net,0,"traceroute to 39.net (219.238.238.42), 50 hops max, 60 byte packets
"
39.net,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.292 ms  0.272 ms  0.291 ms
"
39.net,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.577 ms  0.620 ms  0.556 ms
"
39.net,3," 3  100.64.65.25 (100.64.65.25)  8.236 ms  8.221 ms  7.950 ms
"
39.net,4," 4  100.64.64.141 (100.64.64.141)  29.921 ms  29.916 ms  30.428 ms
"
39.net,5," 5  81.173.22.17 (81.173.22.17)  31.707 ms  31.695 ms  31.694 ms
"
39.net,6," 6  202.97.58.53 (202.97.58.53)  200.561 ms  200.567 ms  200.524 ms
"
39.net,7," 7  202.97.85.41 (202.97.85.41)  191.533 ms  190.807 ms  190.810 ms
"
39.net,8," 8  * * *
"
39.net,9," 9  * * *
"
39.net,10,"10  * * *
"
39.net,11,"11  * * *
"
39.net,12,"12  218.241.244.6 (218.241.244.6)  210.903 ms  210.499 ms  210.640 ms
"
39.net,13,"13  * * *
"
39.net,14,"14  124.202.11.126 (124.202.11.126)  268.678 ms  272.008 ms *
"
39.net,15,"15  * * *
"
39.net,16,"16  * 219.238.238.42 (219.238.238.42)  212.812 ms  210.377 ms
"
