URL,TTL,Response_Message
51sole.com,0,"traceroute to 51sole.com (150.109.68.232), 30 hops max, 60 byte packets
"
51sole.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.348 ms  0.336 ms  0.369 ms
"
51sole.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.575 ms  0.681 ms  0.603 ms
"
51sole.com,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  26.156 ms  26.084 ms  26.121 ms
"
51sole.com,4," 4  ffm-b1-link.telia.net (62.115.63.109)  26.231 ms  26.268 ms  26.250 ms
"
51sole.com,5," 5  ffm-bb3-link.telia.net (62.115.121.2)  43.811 ms ffm-bb2-link.telia.net (62.115.116.165)  43.771 ms ffm-bb3-link.telia.net (62.115.121.2)  46.298 ms
"
51sole.com,6," 6  mei-b3-link.telia.net (62.115.114.199)  46.396 ms  79.822 ms  79.776 ms
"
51sole.com,7," 7  flagtelecom-ic-324599-mei-b2.c.telia.net (213.248.72.190)  41.520 ms  44.011 ms  43.998 ms
"
51sole.com,8," 8  ae2.0.pjr04.ldn001.flagtel.com (85.95.26.253)  309.134 ms  309.061 ms  309.002 ms
"
51sole.com,9," 9  xe-3-0-6.0.cjr01.sin001.flagtel.com (85.95.26.25)  317.530 ms xe-2-0-6.0.cjr01.sin001.flagtel.com (85.95.27.98)  317.374 ms  319.769 ms
"
51sole.com,10,"10  ge-4-1-0.0.ejr04.sin001.flagtel.com (85.95.26.58)  311.204 ms  317.843 ms ge-3-3-0.0.pjr01.hkg005.flagtel.com (85.95.26.9)  320.392 ms
"
51sole.com,11,"11  xe-3-0-2.0.cji02.hkg003.flagtel.com (85.95.27.173)  318.901 ms xe-3-0-1.0.cji02.hkg003.flagtel.com (62.216.129.225)  319.376 ms xe-1-1-0.0.cji02.hkg003.flagtel.com (85.95.27.169)  321.851 ms
"
51sole.com,12,"12  peer.flagtel.com (62.216.145.226)  242.697 ms 80.81.65.138 (80.81.65.138)  239.983 ms 80.77.1.94 (80.77.1.94)  252.627 ms
"
51sole.com,13,"13  218.189.5.23 (218.189.5.23)  241.018 ms  239.737 ms  248.595 ms
"
51sole.com,14,"14  global.hgc.com.hk (218.189.12.14)  303.319 ms  311.329 ms  302.402 ms
"
51sole.com,15,"15  * * *
"
51sole.com,16,"16  * * *
"
51sole.com,17,"17  * * *
"
51sole.com,18,"18  * * *
"
51sole.com,19,"19  150.109.68.232 (150.109.68.232)  307.684 ms  303.865 ms  350.470 ms
"
