URL,TTL,Response_Message
about.com,0,"traceroute to about.com (151.101.194.114), 50 hops max, 60 byte packets
"
about.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.261 ms  0.295 ms  0.328 ms
"
about.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.519 ms  0.554 ms  0.529 ms
"
about.com,3," 3  msk-m9-b1-ae16-vlan3877.fiord.net (80.77.167.16)  16.157 ms  16.209 ms  16.149 ms
"
about.com,4," 4  msk-zoo-b2-ae1-vlan545.fiord.net (62.140.245.49)  16.183 ms  16.167 ms  16.113 ms
"
about.com,5," 5  mow-b3-link.telia.net (213.248.77.226)  42.841 ms  42.823 ms  42.816 ms
"
about.com,6," 6  mow-b4-link.telia.net (80.91.246.90)  44.606 ms  44.379 ms  43.846 ms
"
about.com,7," 7  sap-b4-link.telia.net (62.115.116.7)  41.298 ms  41.161 ms  41.223 ms
"
about.com,8," 8  hls-b2-link.telia.net (62.115.115.250)  43.954 ms  44.380 ms  44.365 ms
"
about.com,9," 9  fastly-ic-336130-hls-b2.c.telia.net (213.248.78.187)  42.724 ms fastly-ic-336129-hls-b2.c.telia.net (213.248.78.185)  42.583 ms fastly-ic-336130-hls-b2.c.telia.net (213.248.78.187)  42.746 ms
"
about.com,10,"10  151.101.194.114 (151.101.194.114)  46.395 ms  42.679 ms  42.793 ms
"
