URL,TTL,Response_Message
adplxmd.com,0,"traceroute to adplxmd.com (103.224.182.251), 50 hops max, 60 byte packets
"
adplxmd.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.302 ms  0.290 ms  0.283 ms
"
adplxmd.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.958 ms  0.898 ms  0.991 ms
"
adplxmd.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  16.925 ms  16.901 ms  16.968 ms
"
adplxmd.com,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.310 ms  22.338 ms  22.372 ms
"
adplxmd.com,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.474 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.676 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.476 ms
"
adplxmd.com,6," 6  be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.340 ms be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.392 ms  39.681 ms
"
adplxmd.com,7," 7  be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  114.777 ms be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  117.516 ms be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  115.091 ms
"
adplxmd.com,8," 8  be3627.ccr41.jfk02.atlas.cogentco.com (66.28.4.197)  118.059 ms be2101.ccr32.bos01.atlas.cogentco.com (154.54.82.38)  115.559 ms be3628.ccr42.jfk02.atlas.cogentco.com (154.54.27.169)  118.927 ms
"
adplxmd.com,9," 9  be2806.ccr41.dca01.atlas.cogentco.com (154.54.40.106)  121.656 ms  124.607 ms be2807.ccr42.dca01.atlas.cogentco.com (154.54.40.110)  120.932 ms
"
adplxmd.com,10,"10  be2112.ccr41.atl01.atlas.cogentco.com (154.54.7.158)  136.944 ms be2806.ccr41.dca01.atlas.cogentco.com (154.54.40.106)  121.710 ms be2113.ccr42.atl01.atlas.cogentco.com (154.54.24.222)  133.004 ms
"
adplxmd.com,11,"11  be2690.ccr42.iah01.atlas.cogentco.com (154.54.28.130)  154.682 ms be2687.ccr41.iah01.atlas.cogentco.com (154.54.28.70)  148.800 ms be2690.ccr42.iah01.atlas.cogentco.com (154.54.28.130)  150.794 ms
"
adplxmd.com,12,"12  be2928.ccr21.elp01.atlas.cogentco.com (154.54.30.162)  163.864 ms be2687.ccr41.iah01.atlas.cogentco.com (154.54.28.70)  147.670 ms  147.667 ms
"
adplxmd.com,13,"13  be2929.ccr31.phx01.atlas.cogentco.com (154.54.42.65)  172.017 ms be2930.ccr32.phx01.atlas.cogentco.com (154.54.42.77)  173.010 ms be2929.ccr31.phx01.atlas.cogentco.com (154.54.42.65)  170.155 ms
"
adplxmd.com,14,"14  be2940.rcr51.san01.atlas.cogentco.com (154.54.6.121)  179.842 ms  179.706 ms be2929.ccr31.phx01.atlas.cogentco.com (154.54.42.65)  169.540 ms
"
adplxmd.com,15,"15  te0-0-2-0.nr11.b022887-0.san01.atlas.cogentco.com (154.24.7.226)  183.234 ms  183.222 ms  183.278 ms
"
adplxmd.com,16,"16  te0-0-2-3.nr11.b022887-0.san01.atlas.cogentco.com (154.24.7.230)  181.918 ms 38.140.111.58 (38.140.111.58)  183.876 ms te0-0-2-3.nr11.b022887-0.san01.atlas.cogentco.com (154.24.7.230)  181.808 ms
"
adplxmd.com,17,"17  sw03-san.trellian.com (103.224.213.253)  182.637 ms  180.173 ms  180.172 ms
"
adplxmd.com,18,"18  lb-182-251.above.com (103.224.182.251)  181.639 ms  181.532 ms  181.964 ms
"
