URL,TTL,Response_Message
bloomberg.com,0,"traceroute to bloomberg.com (69.191.252.15), 50 hops max, 60 byte packets
"
bloomberg.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.294 ms  0.276 ms  0.308 ms
"
bloomberg.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.994 ms  0.824 ms  1.022 ms
"
bloomberg.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.130 ms  17.119 ms  16.978 ms
"
bloomberg.com,4," 4  be3463.ccr52.vie01.atlas.cogentco.com (154.54.59.185)  18.140 ms  18.538 ms  18.487 ms
"
bloomberg.com,5," 5  be3462.ccr22.muc03.atlas.cogentco.com (154.54.59.182)  24.427 ms  24.462 ms  24.552 ms
"
bloomberg.com,6," 6  be2960.ccr42.fra03.atlas.cogentco.com (154.54.36.253)  30.003 ms  30.129 ms  29.783 ms
"
bloomberg.com,7," 7  be3187.agr41.fra03.atlas.cogentco.com (130.117.1.117)  29.752 ms  29.810 ms  29.934 ms
"
bloomberg.com,8," 8  ae16.mpr1.fra4.de.zip.zayo.com (64.125.12.53)  30.731 ms  29.848 ms  29.797 ms
"
bloomberg.com,9," 9  ae27.cs1.fra9.de.eth.zayo.com (64.125.30.254)  115.637 ms  113.618 ms  112.939 ms
"
bloomberg.com,10,"10  ae0.cs1.fra6.de.eth.zayo.com (64.125.29.54)  112.925 ms  113.050 ms  112.902 ms
"
bloomberg.com,11,"11  ae2.cs1.ams17.nl.eth.zayo.com (64.125.29.59)  114.458 ms  114.460 ms  114.597 ms
"
bloomberg.com,12,"12  ae0.cs1.ams10.nl.eth.zayo.com (64.125.29.80)  112.201 ms  112.226 ms  112.214 ms
"
bloomberg.com,13,"13  ae2.cs1.lhr15.uk.eth.zayo.com (64.125.29.17)  113.020 ms  113.196 ms  113.158 ms
"
bloomberg.com,14,"14  * * *
"
bloomberg.com,15,"15  * * *
"
bloomberg.com,16,"16  ae6.mpr3.phl2.us.zip.zayo.com (64.125.30.59)  114.604 ms  114.598 ms  114.588 ms
"
bloomberg.com,17,"17  208.184.124.82.IPYX-071383-ZYO.above.net (208.184.124.82)  114.712 ms  114.700 ms  114.681 ms
"
bloomberg.com,18,"18  69.191.240.33 (69.191.240.33)  117.027 ms  117.004 ms  117.025 ms
"
bloomberg.com,19,"19  69.191.252.15 (69.191.252.15)  117.106 ms  114.931 ms  116.331 ms
"
