URL,TTL,Response_Message
box.com,0,"traceroute to box.com (185.235.236.196), 30 hops max, 60 byte packets
"
box.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.345 ms  0.327 ms  0.355 ms
"
box.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.524 ms  0.507 ms  0.499 ms
"
box.com,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  26.120 ms  28.683 ms  26.106 ms
"
box.com,4," 4  ffm-b1-link.telia.net (62.115.63.109)  26.378 ms  28.683 ms  26.404 ms
"
box.com,5," 5  ffm-bb2-link.telia.net (62.115.137.168)  29.577 ms ffm-bb3-link.telia.net (62.115.141.236)  26.687 ms ffm-bb2-link.telia.net (62.115.137.168)  29.554 ms
"
box.com,6," 6  ffm-b12-link.telia.net (62.115.142.47)  28.967 ms  26.523 ms ffm-b12-link.telia.net (62.115.142.5)  29.073 ms
"
box.com,7," 7  box-ic-339276-ffm-b4.c.telia.net (213.248.100.199)  30.927 ms  28.148 ms  30.905 ms
"
box.com,8," 8  185.235.236.50 (185.235.236.50)  30.722 ms  28.253 ms  30.701 ms
"
box.com,9," 9  185.235.236.9 (185.235.236.9)  28.222 ms 185.235.236.5 (185.235.236.5)  30.675 ms 185.235.236.9 (185.235.236.9)  30.657 ms
"
box.com,10,"10  185.235.236.196 (185.235.236.196)  28.180 ms  28.247 ms  28.226 ms
"
