URL,TTL,Response_Message
brilio.net,0,"traceroute to brilio.net (104.199.248.22), 50 hops max, 60 byte packets
"
brilio.net,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.303 ms  0.293 ms  0.288 ms
"
brilio.net,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.566 ms  0.563 ms  0.550 ms
"
brilio.net,3," 3  100.64.64.58 (100.64.64.58)  0.629 ms  0.675 ms  0.663 ms
"
brilio.net,4," 4  google-gw1.kv.wnet.ua (128.0.168.137)  0.766 ms  0.756 ms  0.791 ms
"
brilio.net,5," 5  108.170.248.130 (108.170.248.130)  6.760 ms 108.170.248.146 (108.170.248.146)  0.832 ms  0.961 ms
"
brilio.net,6," 6  216.239.46.121 (216.239.46.121)  15.077 ms 209.85.248.105 (209.85.248.105)  15.794 ms 216.239.46.121 (216.239.46.121)  15.038 ms
"
brilio.net,7," 7  216.239.56.80 (216.239.56.80)  28.647 ms 216.239.58.18 (216.239.58.18)  28.905 ms 209.85.251.188 (209.85.251.188)  14.350 ms
"
brilio.net,8," 8  209.85.244.158 (209.85.244.158)  34.590 ms 209.85.251.177 (209.85.251.177)  40.239 ms 209.85.244.158 (209.85.244.158)  34.710 ms
"
brilio.net,9," 9  209.85.142.167 (209.85.142.167)  39.999 ms 209.85.245.231 (209.85.245.231)  40.485 ms 209.85.250.200 (209.85.250.200)  114.192 ms
"
brilio.net,10,"10  172.253.65.166 (172.253.65.166)  108.392 ms  107.529 ms 209.85.250.8 (209.85.250.8)  126.780 ms
"
brilio.net,11,"11  216.239.57.196 (216.239.57.196)  123.546 ms 216.239.59.0 (216.239.59.0)  124.096 ms  124.086 ms
"
brilio.net,12,"12  216.239.59.0 (216.239.59.0)  124.863 ms 209.85.247.5 (209.85.247.5)  133.767 ms 216.239.59.0 (216.239.59.0)  124.558 ms
"
brilio.net,13,"13  209.85.247.5 (209.85.247.5)  133.153 ms 209.85.249.75 (209.85.249.75)  284.475 ms 72.14.239.197 (72.14.239.197)  167.151 ms
"
brilio.net,14,"14  209.85.249.63 (209.85.249.63)  283.199 ms 209.85.255.195 (209.85.255.195)  168.177 ms 209.85.249.75 (209.85.249.75)  282.654 ms
"
brilio.net,15,"15  74.125.252.166 (74.125.252.166)  283.689 ms 216.239.49.223 (216.239.49.223)  285.764 ms 209.85.249.63 (209.85.249.63)  283.509 ms
"
brilio.net,16,"16  216.239.41.141 (216.239.41.141)  283.494 ms 74.125.252.142 (74.125.252.142)  282.375 ms 172.253.67.133 (172.253.67.133)  287.144 ms
"
brilio.net,17,"17  * * 209.85.244.29 (209.85.244.29)  285.248 ms
"
brilio.net,18,"18  * * *
"
brilio.net,19,"19  * * *
"
brilio.net,20,"20  * * *
"
brilio.net,21,"21  * * *
"
brilio.net,22,"22  * * *
"
brilio.net,23,"23  * * *
"
brilio.net,24,"24  * * *
"
brilio.net,25,"25  22.248.199.104.bc.googleusercontent.com (104.199.248.22)  288.063 ms * *
"
