URL,TTL,Response_Message
clickadu.com,0,"traceroute to clickadu.com (194.187.97.215), 50 hops max, 60 byte packets
"
clickadu.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.346 ms  0.328 ms  0.346 ms
"
clickadu.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.965 ms  0.909 ms  1.019 ms
"
clickadu.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.260 ms  16.993 ms  16.976 ms
"
clickadu.com,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.744 ms  22.622 ms  22.459 ms
"
clickadu.com,5," 5  be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.328 ms  30.724 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.393 ms
"
clickadu.com,6," 6  be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.379 ms  39.521 ms  39.785 ms
"
clickadu.com,7," 7  be3434.rcr21.ams06.atlas.cogentco.com (154.54.59.50)  39.855 ms  40.078 ms be3433.rcr21.ams06.atlas.cogentco.com (154.54.58.202)  39.913 ms
"
clickadu.com,8," 8  149.14.92.42 (149.14.92.42)  42.161 ms universal-cdn.demarc.cogentco.com (149.6.1.34)  39.787 ms 149.6.0.74 (149.6.0.74)  39.768 ms
"
clickadu.com,9," 9  v-6-08-35-d4583-215.webazilla.com (194.187.97.215)  39.734 ms  39.964 ms  39.849 ms
"
