URL,TTL,Response_Message
cntv.cn,0,"traceroute to cntv.cn (202.108.8.151), 50 hops max, 60 byte packets
"
cntv.cn,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.425 ms  0.414 ms  0.383 ms
"
cntv.cn,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.674 ms  0.662 ms  2.368 ms
"
cntv.cn,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  28.716 ms  26.134 ms  28.687 ms
"
cntv.cn,4," 4  ae7-1245.cr1-fra6.ip4.gtt.net (46.33.79.153)  28.154 ms  28.143 ms  28.114 ms
"
cntv.cn,5," 5  et-0-0-53.cr4-lax2.ip4.gtt.net (213.254.230.250)  175.852 ms et-0-0-67.cr4-lax2.ip4.gtt.net (89.149.140.77)  175.481 ms  175.487 ms
"
cntv.cn,6," 6  * * as4837.lax21.ip4.gtt.net (173.205.56.186)  276.044 ms
"
cntv.cn,7," 7  219.158.96.233 (219.158.96.233)  443.715 ms  443.722 ms  443.710 ms
"
cntv.cn,8," 8  219.158.96.206 (219.158.96.206)  438.586 ms  448.101 ms  446.030 ms
"
cntv.cn,9," 9  219.158.103.41 (219.158.103.41)  454.719 ms  454.689 ms  445.955 ms
"
cntv.cn,10,"10  219.158.7.225 (219.158.7.225)  442.973 ms 219.158.19.225 (219.158.19.225)  437.199 ms *
"
cntv.cn,11,"11  * * *
"
cntv.cn,12,"12  124.65.194.166 (124.65.194.166)  438.884 ms 61.149.203.182 (61.149.203.182)  439.594 ms 124.65.194.78 (124.65.194.78)  443.275 ms
"
cntv.cn,13,"13  61.148.143.18 (61.148.143.18)  440.375 ms * *
"
cntv.cn,14,"14  61.49.42.130 (61.49.42.130)  439.584 ms  439.721 ms  442.413 ms
"
cntv.cn,15,"15  zz-8-151-a8.bta.net.cn (202.108.8.151)  438.574 ms 61.49.42.130 (61.49.42.130)  442.709 ms  442.792 ms
"
cntv.cn,16,"16  zz-8-151-a8.bta.net.cn (202.108.8.151)  441.290 ms  438.835 ms  441.279 ms
"
