URL,TTL,Response_Message
costco.com,0,"traceroute to costco.com (170.167.117.81), 50 hops max, 60 byte packets
"
costco.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  1.394 ms  1.378 ms  1.438 ms
"
costco.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.559 ms  0.593 ms  0.635 ms
"
costco.com,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  28.658 ms  28.606 ms  28.626 ms
"
costco.com,4," 4  * * *
"
costco.com,5," 5  ae27.cs1.fra9.de.eth.zayo.com (64.125.30.254)  176.305 ms  176.310 ms  176.304 ms
"
costco.com,6," 6  ae0.cs1.fra6.de.eth.zayo.com (64.125.29.54)  176.290 ms  178.740 ms  176.142 ms
"
costco.com,7," 7  ae2.cs1.ams17.nl.eth.zayo.com (64.125.29.59)  178.728 ms  178.772 ms  176.263 ms
"
costco.com,8," 8  ae0.cs1.ams10.nl.eth.zayo.com (64.125.29.80)  176.522 ms  181.104 ms  176.143 ms
"
costco.com,9," 9  ae2.cs1.lhr15.uk.eth.zayo.com (64.125.29.17)  178.664 ms  176.186 ms  176.173 ms
"
costco.com,10,"10  * * *
"
costco.com,11,"11  ae5.cs3.lga5.us.eth.zayo.com (64.125.29.126)  178.638 ms  178.607 ms  176.116 ms
"
costco.com,12,"12  * ae3.cs3.ord2.us.eth.zayo.com (64.125.29.209)  177.604 ms *
"
costco.com,13,"13  ae2.cs1.sea1.us.eth.zayo.com (64.125.29.26)  183.757 ms  181.405 ms  176.068 ms
"
costco.com,14,"14  ae27.mpr1.sea1.us.zip.zayo.com (64.125.29.1)  178.603 ms  178.595 ms  178.544 ms
"
costco.com,15,"15  209.66.92.98.IPYX-149781-ZYO.zip.zayo.com (209.66.92.98)  180.532 ms  180.499 ms  183.005 ms
"
costco.com,16,"16  costco.com (170.167.117.81)  183.112 ms  183.162 ms  181.313 ms
"
