URL,TTL,Response_Message
engadget.com,0,"traceroute to engadget.com (106.10.218.150), 30 hops max, 60 byte packets
"
engadget.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  1.453 ms  1.493 ms  1.521 ms
"
engadget.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.510 ms  0.493 ms  0.533 ms
"
engadget.com,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  26.085 ms  26.112 ms  28.627 ms
"
engadget.com,4," 4  ffm-b1-link.telia.net (62.115.63.109)  28.906 ms  26.289 ms  26.277 ms
"
engadget.com,5," 5  ffm-bb2-link.telia.net (62.115.116.161)  45.765 ms ffm-bb3-link.telia.net (62.115.141.234)  47.500 ms *
"
engadget.com,6," 6  prs-bb4-link.telia.net (62.115.114.98)  46.218 ms prs-bb4-link.telia.net (62.115.122.138)  44.951 ms prs-bb3-link.telia.net (62.115.123.13)  47.674 ms
"
engadget.com,7," 7  ldn-bb3-link.telia.net (62.115.134.93)  44.435 ms  41.581 ms ldn-bb4-link.telia.net (62.115.114.228)  45.883 ms
"
engadget.com,8," 8  ldn-b7-link.telia.net (62.115.138.155)  44.710 ms  44.813 ms ldn-b7-link.telia.net (62.115.138.151)  44.702 ms
"
engadget.com,9," 9  telstra-ic-324829-ldn-b7.c.telia.net (62.115.154.237)  54.446 ms  56.510 ms  54.233 ms
"
engadget.com,10,"10  i-91.ulco-core02.telstraglobal.net (202.40.148.33)  43.891 ms  43.789 ms  43.900 ms
"
engadget.com,11,"11  i-15104.sgcn-core01.telstraglobal.net (202.84.140.97)  197.351 ms  199.924 ms  197.763 ms
"
engadget.com,12,"12  i-91.istt04.telstraglobal.net (202.84.224.197)  198.089 ms  196.008 ms  201.122 ms
"
engadget.com,13,"13  unknown.telstraglobal.net (202.126.129.125)  195.673 ms unknown.telstraglobal.net (202.126.129.141)  203.909 ms unknown.telstraglobal.net (202.126.129.125)  195.664 ms
"
engadget.com,14,"14  ae-4.msr1.sg3.yahoo.com (203.84.209.75)  196.859 ms ae-5.msr2.sg3.yahoo.com (203.84.209.89)  199.861 ms ae-4.msr2.sg3.yahoo.com (203.84.209.77)  198.124 ms
"
engadget.com,15,"15  ae-2.clr2-a-gdc.sg3.yahoo.com (106.10.128.5)  197.494 ms ae-2.clr1-a-gdc.sg3.yahoo.com (106.10.128.3)  198.382 ms ae-3.clr2-a-gdc.sg3.yahoo.com (106.10.128.9)  198.363 ms
"
engadget.com,16,"16  lo0.fab4-3-gdc.sg3.yahoo.com (106.10.131.214)  201.582 ms  198.524 ms lo0.fab1-3-gdc.sg3.yahoo.com (106.10.131.217)  203.134 ms
"
engadget.com,17,"17  lo0.usw1-1-lba.sg3.yahoo.com (106.10.128.238)  199.016 ms lo0.usw2-1-lba.sg3.yahoo.com (106.10.128.239)  198.763 ms lo0.usw1-1-lba.sg3.yahoo.com (106.10.128.238)  196.024 ms
"
engadget.com,18,"18  * * *
"
engadget.com,19,"19  * * *
"
engadget.com,20,"20  * * *
"
engadget.com,21,"21  * * *
"
engadget.com,22,"22  * * *
"
engadget.com,23,"23  * * *
"
engadget.com,24,"24  * * *
"
engadget.com,25,"25  * * *
"
engadget.com,26,"26  w2.src4.vip.sg3.yahoo.com (106.10.218.150)  199.224 ms  203.040 ms  195.804 ms
"
