URL,TTL,Response_Message
espn.go.com,0,"traceroute to espn.go.com (13.225.78.43), 30 hops max, 60 byte packets
"
espn.go.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.321 ms  0.312 ms  0.307 ms
"
espn.go.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.984 ms  0.919 ms  1.020 ms
"
espn.go.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.276 ms  17.312 ms  17.079 ms
"
espn.go.com,4," 4  be3463.ccr52.vie01.atlas.cogentco.com (154.54.59.185)  18.690 ms  18.764 ms  18.369 ms
"
espn.go.com,5," 5  be3462.ccr22.muc03.atlas.cogentco.com (154.54.59.182)  24.676 ms  24.751 ms  24.792 ms
"
espn.go.com,6," 6  be2960.ccr42.fra03.atlas.cogentco.com (154.54.36.253)  29.819 ms  30.470 ms  30.299 ms
"
espn.go.com,7," 7  amazon.demarc.cogentco.com (149.14.159.194)  30.000 ms  29.919 ms  29.792 ms
"
espn.go.com,8," 8  52.93.111.2 (52.93.111.2)  29.347 ms 52.93.111.8 (52.93.111.8)  28.991 ms 52.93.111.12 (52.93.111.12)  33.477 ms
"
espn.go.com,9," 9  54.239.107.87 (54.239.107.87)  28.678 ms 54.239.107.149 (54.239.107.149)  28.548 ms 54.239.107.171 (54.239.107.171)  32.345 ms
"
espn.go.com,10,"10  54.239.5.55 (54.239.5.55)  28.754 ms 54.239.4.219 (54.239.4.219)  32.031 ms  31.954 ms
"
espn.go.com,11,"11  54.239.106.174 (54.239.106.174)  29.188 ms 54.239.106.132 (54.239.106.132)  28.990 ms 54.239.106.148 (54.239.106.148)  28.910 ms
"
espn.go.com,12,"12  52.93.244.135 (52.93.244.135)  28.199 ms 52.93.244.131 (52.93.244.131)  30.702 ms  30.754 ms
"
espn.go.com,13,"13  * * *
"
espn.go.com,14,"14  * * *
"
espn.go.com,15,"15  * * *
"
espn.go.com,16,"16  * * *
"
espn.go.com,17,"17  * * *
"
espn.go.com,18,"18  server-13-225-78-43.fra2.r.cloudfront.net (13.225.78.43)  30.924 ms  28.167 ms  28.194 ms
"
