URL,TTL,Response_Message
gizmodo.com,0,"traceroute to gizmodo.com (151.101.2.166), 50 hops max, 60 byte packets
"
gizmodo.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.859 ms  0.810 ms  0.857 ms
"
gizmodo.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.556 ms  0.537 ms  0.569 ms
"
gizmodo.com,3," 3  msk-m9-b1-ae16-vlan3877.fiord.net (80.77.167.16)  16.144 ms  16.196 ms  16.133 ms
"
gizmodo.com,4," 4  msk-zoo-b2-ae1-vlan545.fiord.net (62.140.245.49)  16.178 ms  16.171 ms  16.164 ms
"
gizmodo.com,5," 5  mow-b3-link.telia.net (213.248.77.226)  42.846 ms  42.834 ms  42.870 ms
"
gizmodo.com,6," 6  mow-b4-link.telia.net (80.91.246.90)  44.038 ms  44.014 ms  43.888 ms
"
gizmodo.com,7," 7  sap-b4-link.telia.net (62.115.116.7)  41.513 ms  42.176 ms  42.318 ms
"
gizmodo.com,8," 8  hls-b2-link.telia.net (62.115.115.250)  44.224 ms  44.073 ms  44.023 ms
"
gizmodo.com,9," 9  fastly-ic-336130-hls-b2.c.telia.net (213.248.78.187)  42.764 ms  42.762 ms fastly-ic-336129-hls-b2.c.telia.net (213.248.78.185)  46.389 ms
"
gizmodo.com,10,"10  151.101.2.166 (151.101.2.166)  46.305 ms  46.311 ms  42.749 ms
"
