URL,TTL,Response_Message
gyazo.com,0,"traceroute to gyazo.com (35.186.213.112), 30 hops max, 60 byte packets
"
gyazo.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.306 ms  0.297 ms  0.337 ms
"
gyazo.com,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.578 ms  4.041 ms  0.561 ms
"
gyazo.com,3," 3  100.64.64.58 (100.64.64.58)  0.675 ms  0.693 ms  0.685 ms
"
gyazo.com,4," 4  google-gw1.kv.wnet.ua (128.0.168.137)  0.676 ms  0.667 ms  0.744 ms
"
gyazo.com,5," 5  108.170.248.147 (108.170.248.147)  0.903 ms  0.884 ms  0.878 ms
"
gyazo.com,6," 6  108.170.234.224 (108.170.234.224)  2.928 ms 209.85.248.105 (209.85.248.105)  14.695 ms  15.611 ms
"
gyazo.com,7," 7  209.85.251.188 (209.85.251.188)  15.792 ms  15.121 ms 108.170.250.209 (108.170.250.209)  16.352 ms
"
gyazo.com,8," 8  108.170.250.193 (108.170.250.193)  13.790 ms 108.170.250.209 (108.170.250.209)  15.827 ms 108.170.250.193 (108.170.250.193)  13.772 ms
"
gyazo.com,9," 9  216.239.40.43 (216.239.40.43)  14.809 ms 112.213.186.35.bc.googleusercontent.com (35.186.213.112)  15.202 ms 216.239.40.213 (216.239.40.213)  14.516 ms
"
